"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","道具生效时间","道具过期时间","使用后持续时间（s）","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","加锁时能否消耗","需求锻造等级","需求裁缝等级","需求炼金等级","临时类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","是否稀有","摆摊冻结时间"
"332081","518","女贼（7天）","fffff2df","1","30259","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332082","518","女贼（30天）","fffff2df","1","30259","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332083","518","女贼（永久）","fffff2df","1","30259","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332084","518","女王希尔（7天）","fffff2df","1","30310","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332085","518","女王希尔（30天）","fffff2df","1","30310","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332086","518","女王希尔（永久）","fffff2df","1","30310","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332087","518","术士大妈（7天）","fffff2df","1","30262","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332088","518","术士大妈（30天）","fffff2df","1","30262","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332089","518","术士大妈（永久）","fffff2df","1","30262","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332090","518","阿撸高（7天）","fffff2df","1","30247","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332091","518","阿撸高（30天）","fffff2df","1","30247","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332092","518","阿撸高（永久）","fffff2df","1","30247","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332093","518","死骑瑞文（7天）","fffff2df","1","30287","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332094","518","死骑瑞文（30天）","fffff2df","1","30287","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332095","518","死骑瑞文（永久）","fffff2df","1","30287","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332096","518","时空游龙（7天）","fffff2df","1","30204","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332097","518","时空游龙（30天）","fffff2df","1","30204","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332098","518","时空游龙（永久）","fffff2df","1","30204","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332099","518","古尔迪安（7天）","fffff2df","1","30313","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332100","518","古尔迪安（30天）","fffff2df","1","30313","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332101","518","古尔迪安（永久）","fffff2df","1","30313","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333000","534","小软宝宝","FF00b1ff","3","30292","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得小软","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333001","534","迅猛龙宝宝","FF00b1ff","3","30211","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得迅猛龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333002","534","羽蛇宝宝","FF00b1ff","3","30234","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得羽蛇","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333003","534","囧龟宝宝","FF00b1ff","3","30235","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得囧龟","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333004","534","食人工头宝宝","FF00b1ff","3","30219","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得食人工头","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333005","534","地精工匠宝宝","FF00b1ff","3","30221","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得地精工匠","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333006","534","剪刀手宝宝","FF00b1ff","3","30238","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得剪刀手","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333007","534","鱼人宝宝","FFd200ff","4","30226","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得鱼人","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333008","534","野鬼宝宝","FF00b1ff","3","30241","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得野鬼","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333009","534","狼人宝宝","FF00b1ff","3","30284","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得狼人","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333010","534","死灵哨兵宝宝","FF00b1ff","3","30295","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得死灵哨兵","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333011","534","血月教徒宝宝","FFd200ff","4","30247","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得血月教徒","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333012","534","野猪宝宝","FF00b1ff","3","30240","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得野猪","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333013","534","吸血蝙蝠宝宝","FF00b1ff","3","30210","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得吸血蝙蝠","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333014","534","野猪人宝宝","FF00b1ff","3","30232","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得野猪人","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333015","534","巫妖宝宝","FFd200ff","4","30220","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得巫妖","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333016","534","血色猎犬宝宝","FF00b1ff","3","30233","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得血色猎犬","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333017","534","幽灵宝宝","FF00b1ff","3","30237","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得幽灵","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333018","534","血色士兵宝宝","FF00b1ff","3","30231","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得血色士兵","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333019","534","血色骑士宝宝","FFd200ff","4","30224","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得血色骑士","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333020","534","血色牧师宝宝","FFd200ff","4","30239","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得血色牧师","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333021","534","土元素宝宝","FF00b1ff","3","30217","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得土元素","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333022","534","半人马宝宝","FF00b1ff","3","30249","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得半人马","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333023","534","鞭笞者宝宝","FF00b1ff","3","30228","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得鞭笞者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333024","534","腐女宝宝","FFd200ff","4","30223","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得腐女","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333025","534","摧毁者宝宝","FF00b1ff","3","30290","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得摧毁者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333026","534","虚空恐魔宝宝","FF00b1ff","3","30279","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得虚空恐魔","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333027","534","食人魔宝宝","FF00b1ff","3","30227","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得食人魔","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333028","534","变形者宝宝","FFd200ff","4","30229","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变形者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333029","534","绿飞龙宝宝","FF00b1ff","3","30213","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得绿飞龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333030","534","预言者宝宝","FF00b1ff","3","30236","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得预言者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333031","534","骨飞龙宝宝","FF00b1ff","3","30222","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得骨飞龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333032","534","绿龙宝宝","FFd200ff","4","30212","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得绿龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333033","534","炎魔使者宝宝","FF00b1ff","3","30218","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得炎魔使者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333034","534","黑铁矮人宝宝","FF00b1ff","3","30216","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得黑铁矮人","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333035","534","铁炉牧师宝宝","FF00b1ff","3","30225","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得铁炉牧师","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333036","534","矮人军官宝宝","FFd200ff","4","30215","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得矮人军官","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333037","534","死亡骑士宝宝","FF00b1ff","3","30287","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得死亡骑士","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333038","534","食尸鬼宝宝","FF00b1ff","3","30250","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得食尸鬼","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333039","534","女妖宝宝","FF00b1ff","3","30248","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得女妖","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333040","534","恐惧恶魔宝宝","FFd200ff","4","30214","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得恐惧恶魔","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333041","534","变异小软","FFd200ff","4","30292","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异小软","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333042","534","变异迅猛龙","FFd200ff","4","30211","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异迅猛龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333043","534","变异羽蛇","FFd200ff","4","30234","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异羽蛇","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333044","534","变异囧龟","FFd200ff","4","30235","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异囧龟","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333045","534","变异食人工头","FFd200ff","4","30219","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异食人工头","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333046","534","变异地精工匠","FFd200ff","4","30221","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异地精工匠","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333047","534","变异剪刀手","FFd200ff","4","30238","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异剪刀手","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333048","534","变异鱼人","FFff5900","5","30226","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异剪刀手","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333049","534","变异野鬼","FFd200ff","4","30241","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异野鬼","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333050","534","变异狼人","FFd200ff","4","30284","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异狼人","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333051","534","变异死灵哨兵","FFd200ff","4","30295","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得死灵变异死灵哨兵","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333052","534","变异血月教徒","FFff5900","5","30247","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异血月教徒","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333053","534","变异野猪","FFd200ff","4","30240","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异野猪","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333054","534","变异吸血蝙蝠","FFd200ff","4","30210","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异吸血蝙蝠","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333055","534","变异野猪人","FFd200ff","4","30232","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异野猪人","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333056","534","变异巫妖","FFff5900","5","30220","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异巫妖","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333057","534","变异血色猎犬","FFd200ff","4","30233","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异血色猎犬","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333058","534","变异幽灵","FFd200ff","4","30237","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异幽灵","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333059","534","变异血色士兵","FFd200ff","4","30231","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异血色士兵","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333060","534","变异血色骑士","FFff5900","5","30224","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异血色骑士","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333061","534","变异血色牧师","FFff5900","5","30239","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异血色牧师","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333062","534","变异土元素","FFd200ff","4","30217","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异土元素","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333063","534","变异半人马","FFd200ff","4","30249","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异半人马","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333064","534","变异鞭笞者","FFd200ff","4","30228","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异鞭笞者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333065","534","变异腐女","FFff5900","5","30223","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异腐女","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333066","534","变异摧毁者","FFd200ff","4","30290","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异摧毁者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333067","534","变异虚空恐魔","FFd200ff","4","30279","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异虚空恐魔","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333068","534","变异食人魔","FFd200ff","4","30227","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异食人魔","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333069","534","变异变形者","FFff5900","5","30229","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异变形者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333070","534","变异绿飞龙","FFd200ff","4","30213","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异绿飞龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333071","534","变异预言者","FFd200ff","4","30236","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异预言者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333072","534","变异骨飞龙","FFd200ff","4","30222","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异骨飞龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333073","534","变异绿龙","FFff5900","5","30212","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异绿龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333074","534","变异炎魔使者","FFd200ff","4","30218","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异炎魔使者","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333075","534","变异黑铁矮人","FFd200ff","4","30216","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异黑铁矮人","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333076","534","变异铁炉牧师","FFd200ff","4","30225","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异铁炉牧师","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333077","534","变异矮人军官","FFff5900","5","30215","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异矮人军官","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333078","534","变异死亡骑士","FFd200ff","4","30287","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异死亡骑士","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333079","534","变异食尸鬼","FFd200ff","4","30250","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异食尸鬼","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333080","534","变异女妖","FFd200ff","4","30248","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异女妖","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333081","534","变异恐惧恶魔","FFff5900","5","30214","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得变异恐惧恶魔","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333082","534","小软宝宝","FF00b1ff","3","30292","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得小软","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333083","534","小软宝宝","FF00b1ff","3","30292","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得小软","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333084","534","迅猛龙宝宝","FF00b1ff","3","30211","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得迅猛龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333085","534","迅猛龙宝宝","FF00b1ff","3","30211","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得迅猛龙","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333086","534","囧龟宝宝","FFd200ff","4","30235","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得囧龟","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"333087","534","地精工匠宝宝","FF00b1ff","3","30221","个","0","1","5800","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","使用获得地精工匠","使用获得宠物",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
