"编号","类型","部件ID","显示名","功能说明","道具名颜色","颜色品质","装备颜色","装备前缀","造型编号","武器造型编号","单位","等级","需求等级","排序ID","角色需求1","角色需求2","性别需求","可否摧毁","可否摆摊上架","默认有效时间","不能被放入的包裹id1","不能被放入的包裹id2","不能被放入的包裹id3","可否给予战斗中对象","可否卖店","能否邮寄","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","售卖商店类型","售卖NPCID","道具使用方法","赠送类型","亲密度","货币类型","从NPC购买价","出售价格系数","对应使用方法答案ID","点击寻路链接及右键使用事件","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","淬炼等级","是否已鉴定","耐久度系数","耐久上限","附加属性1值","附加属性2值","附加属性3值","附加属性1id","附加属性2id","附加属性3id","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","增加躲闪","增加命中","增加内功防御","增加内功伤害","增加速度","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","封印抗性","加强封印","特技id","是否生成特殊属性","套装id","附加属性条数","绿色评分","蓝色评分","橙色评分","紫色评分","暗金色评分","特效id","左手路径1","左手路径2","右手路径1","右手路径2","左手挂点1","左手挂点2","右手挂点1","右手挂点2","宝石槽数量","槽1开启等级","槽2开启等级","槽3开启等级","可镶嵌最高等级宝石","可镶嵌宝石类型1","可镶嵌宝石类型2","可镶嵌宝石类型3","可镶嵌宝石类型4","可镶嵌宝石类型5","宝石1","宝石2","宝石3","宝石4","宝石5","宝石6","宝石7","宝石8","宝石9","宝石10","装备基础属性ID","附加属性随机库ID","附加属性出现几率","附加属性双加随机库ID","附加属性单加随机库ID","附加属性加减随机库ID","特效随机库ID","特技随机库ID","装备普通修理失败几率","装备修理材料ID","装备修理材料消耗数量","装备修理材料ID1","装备修理材料消耗数量1","装备修理材料ID2","装备修理材料消耗数量2","装备修理材料ID3","装备修理材料消耗数量3","装备修理材料ID4","装备修理材料消耗数量4","装备修理材料ID5","装备修理材料消耗数量5","装备修理材料ID6","装备修理材料消耗数量6","装备修理材料ID7","装备修理材料消耗数量7","装备修理材料ID8","装备修理材料消耗数量8","装备修理材料ID9","装备修理材料消耗数量9","装备修理材料ID10","装备修理材料消耗数量10","装备特殊修理材料ID","装备特殊修理材料消耗数量","装备普通修理消耗金钱","普通修理消耗金钱类型","装备特殊修理消耗金钱","特殊修理消耗金钱类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","珍品评分","是否自动分解","分解获得银币","分解额外获得物品1","分解额外获得物品2","分解额外获得物品3","分解额外获得物品4","分解额外获得物品5","是否自动播放特效","是否有分解按钮","摆摊冻结时间","是否稀有"
"4070207","312","3","雷矛胸甲","70级白装男衣","fffff2df","1","5","1","1460","1432","件","70","70","7000","","","1","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","或许你认为战斗是为了和平，可有时候也完全是嗜血欲望在作祟。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","400","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","9","1","3","5","7","","","","","","","","","","","","4070207","","0","","","","","","50",,,"331137","1","331138","1","331139","1","331140","1","331141","1",,,,,,,,,,,"40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341107,1,0;350700,1,0;350701,1,0;350702,1,0;350703,1,0;350704,1,0;350705,1,0;350706,1,0;350707,1,0;350708,1,0;350709,1,0;350710,1,0;350711,1,0;350712,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4070208","568","3","雷矛外套","70级白装女衣","fffff2df","1","5","1","1448","1436","件","70","70","7000","","","2","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","或许你认为战斗是为了和平，可有时候也完全是嗜血欲望在作祟。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","400","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","9","1","3","5","7","","","","","","","","","","","","4070208","","0","","","","","","50",,,"331137","1","331138","1","331139","1","331140","1","331141","1",,,,,,,,,,,"40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341107,1,0;350700,1,0;350701,1,0;350702,1,0;350703,1,0;350704,1,0;350705,1,0;350706,1,0;350707,1,0;350708,1,0;350709,1,0;350710,1,0;350711,1,0;350712,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4070309","1640","1","雷矛头盔","70级白装男头盔","fffff2df","1","5","1","1436","1698","件","70","70","7000","","","1","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","或许你认为战斗是为了和平，可有时候也完全是嗜血欲望在作祟。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","400","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","9","2","3","","","","","","","","","","","","","","4070309","","0","","","","","","50",,,"331137","1","331138","1","331139","1","331140","1","331141","1",,,,,,,,,,,"40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341107,1,0;350700,1,0;350701,1,0;350702,1,0;350703,1,0;350704,1,0;350705,1,0;350706,1,0;350707,1,0;350708,1,0;350709,1,0;350710,1,0;350711,1,0;350712,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4070310","1384","1","雷矛头饰","70级白装女头饰","fffff2df","1","5","1","1567","1698","件","70","70","7000","","","2","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","或许你认为战斗是为了和平，可有时候也完全是嗜血欲望在作祟。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","400","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","9","2","3","","","","","","","","","","","","","","4070310","","0","","","","","","50",,,"331137","1","331138","1","331139","1","331140","1","331141","1",,,,,,,,,,,"40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341107,1,0;350700,1,0;350701,1,0;350702,1,0;350703,1,0;350704,1,0;350705,1,0;350706,1,0;350707,1,0;350708,1,0;350709,1,0;350710,1,0;350711,1,0;350712,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4070411","40","2","雷矛项链","70级白装项链","fffff2df","1","5","1","1530","1434","件","70","70","7000","","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","或许你认为战斗是为了和平，可有时候也完全是嗜血欲望在作祟。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","400","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","9","4","5","","","","","","","","","","","","","","4070411","","0","","","","","","50",,,"331167","1","331168","1","331169","1","331170","1","331171","1",,,,,,,,,,,"40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341107,1,0;350700,1,0;350701,1,0;350702,1,0;350703,1,0;350704,1,0;350705,1,0;350706,1,0;350707,1,0;350708,1,0;350709,1,0;350710,1,0;350711,1,0;350712,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4070512","72","4","雷矛腰带","70级白装腰带","fffff2df","1","5","1","1543","1435","件","70","70","7000","","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","或许你认为战斗是为了和平，可有时候也完全是嗜血欲望在作祟。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","400","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","9","1","6","9","","","","","","","","","","","","","4070512","","0","","","","","","50",,,"331167","1","331168","1","331169","1","331170","1","331171","1",,,,,,,,,,,"40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341107,1,0;350700,1,0;350701,1,0;350702,1,0;350703,1,0;350704,1,0;350705,1,0;350706,1,0;350707,1,0;350708,1,0;350709,1,0;350710,1,0;350711,1,0;350712,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4070613","88","5","雷矛长靴","70级白装鞋子","fffff2df","1","5","1","1555","1429","件","70","70","7000","","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","或许你认为战斗是为了和平，可有时候也完全是嗜血欲望在作祟。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","400","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","9","6","9","","","","","","","","","","","","","","4070613","","0","","","","","","50",,,"331167","1","331168","1","331169","1","331170","1","331171","1",,,,,,,,,,,"40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341107,1,0;350700,1,0;350701,1,0;350702,1,0;350703,1,0;350704,1,0;350705,1,0;350706,1,0;350707,1,0;350708,1,0;350709,1,0;350710,1,0;350711,1,0;350712,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4080101","1288","0","饥饿之寒","80级白装剑","fffff2df","1","1","1","1495","105","件","80","80","7000","1","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","刺骨的寒让复仇的烈焰燃烧的更加猛烈。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","10","2","4","7","8","","","","","","","","","","","","4080101","","0","","","","","","50",,,"331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0",,,,,"0","1",,
"4080102","4360","0","太阳之锤","80级白装锤","fffff2df","1","1","1","1483","205","件","80","80","7000","2","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","王子没有抛弃我们！","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","10","2","4","7","8","","","","","","","","","","","","4080102","","0","","","","","","50",,,"331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0",,,,,"0","1",,
"4080103","1800","0","毒牙","80级白装匕首","fffff2df","1","1","1","1579","302","件","80","80","7000","3","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","这……匕首……有……毒！","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","10","2","4","7","8","","","","","","","","","","","","4080103","","0","","","","","","50",,,"331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0",,,,,"0","1",,
"4080104","3080","0","帝陨","80级白装爪","fffff2df","1","1","1","1519","405","件","80","80","7000","4","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","滴血的刀口吟咏着丧歌。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","10","2","4","7","8","","","","","","","","","","","","4080104","","0","","","","","","50",,,"331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0",,,,,"0","1",,
"4080105","2824","0","厄运之指","80级白装魔棒","fffff2df","1","1","1","1507","505","件","80","80","7000","5","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","命运掌握在自己手中。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","10","2","4","7","8","","","","","","","","","","","","4080105","","0","","","","","","50",,,"331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0",,,,,"0","1",,
"4080106","4104","0","搜魂者","80级白装法杖","fffff2df","1","1","1","1432","605","件","80","80","7000","6","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","亡魂的归宿，抑或说是坟墓。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","10","2","4","7","8","","","","","","","","","","","","4080106","","0","","","","","","50",,,"331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0",,,,,"0","1",,
"4080207","312","3","碎地者胸甲","80级白装男衣","fffff2df","1","5","1","1459","1432","件","80","80","7000","","","1","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","10","1","3","5","7","","","","","","","","","","","","4080207","","0","","","","","","50",,,"331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4080208","568","3","碎地者外套","80级白装女衣","fffff2df","1","5","1","1447","1436","件","80","80","7000","","","2","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","10","1","3","5","7","","","","","","","","","","","","4080208","","0","","","","","","50",,,"331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4080309","1640","1","碎地者头盔","80级白装男头盔","fffff2df","1","5","1","1435","1698","件","80","80","7000","","","1","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","10","2","3","","","","","","","","","","","","","","4080309","","0","","","","","","50",,,"331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4080310","1384","1","碎地者头饰","80级白装女头饰","fffff2df","1","5","1","1566","1698","件","80","80","7000","","","2","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","10","2","3","","","","","","","","","","","","","","4080310","","0","","","","","","50",,,"331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4080411","40","2","碎地者项链","80级白装项链","fffff2df","1","5","1","1529","1434","件","80","80","7000","","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","10","4","5","","","","","","","","","","","","","","4080411","","0","","","","","","50",,,"331168","1","331169","1","331170","1","331171","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
"4080512","72","4","碎地者腰带","80级白装腰带","fffff2df","1","5","1","1541","1435","件","80","80","7000","","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","450","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","10","1","6","9","","","","","","","","","","","","","4080512","","0","","","","","","50",,,"331168","1","331169","1","331170","1","331171","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","50000","341108,1,0;350800,1,0;350801,1,0;350802,1,0;350803,1,0;350804,1,0;350805,1,0;350806,1,0;350807,1,0;350808,1,0;350809,1,0;350810,1,0;350811,1,0;350812,1,0;350900,1,0;350901,1,0;350902,1,0;350903,1,0;350904,1,0;350905,1,0;350906,1,0;350907,1,0;350908,1,0;350909,1,0;350910,1,0;350911,1,0;350912,1,0;40008,1,0;40009,1,0;40010,1,0;40011,1,0;40008,2,0;40009,2,0;40010,2,0;40011,2,0;40008,3,0;40009,3,0;40010,3,0;40011,3,0","","","","","0","1","",
