"技能ID","技能名称","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用"
"774007","狂暴领袖","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"781001","淬毒刀扇","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*gradea",,,"7810010,7810011,7810012,7810013,7810014,7810015,7810016","0,1000,1300,1600,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"781002","穿刺影袭","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7810020,7810021","0,-1",,,"1","1",,
"781003","剔骨","","true","false","true","0","","","true","1","1","480","0",,"0",,,"7810030,7810031,7810032,7810132,7810033,7810133,7810034,7810134,7810035","0,-1,-1,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"781004","潜行","","true","false","false","0","","","true","1","7","1","0",,"10+1.2*gradea",,,"7810040","0",,,"1",,,
"781005","闷棍","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7810050,7810051,7810052","0,-1,-1",,,"1","1",,
"781006","呆呆标记","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"781007","重情重义","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"782001","淬毒刀扇","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*gradea",,,"7820010,7820011,7820012,7820013,7820014,7820015,7820016","0,1000,1300,1600,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"782002","穿刺影袭","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7820020,7820021","0,-1",,,"1","1",,
"782003","剔骨","","true","false","true","0","","","true","1","1","480","0",,"0",,,"7820030,7820031,7820032,7820132,7820033,7820133,7820034,7820134,7820035","0,-1,-1,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"782004","潜行","","true","false","false","0","","","true","1","7","1","0",,"10+1.2*gradea",,,"7820040","0",,,"1",,,
"782005","闷棍","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7820050,7820051,7820052","0,-1,-1",,,"1","1",,
"782006","好奇宝宝","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7820060","0",,,"",,,
"782007","八卦女王","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"783001","淬毒刀扇","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*gradea",,,"7830010,7830011,7830012,7830013,7830014,7830015,7830016","0,1000,1300,1600,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"783002","穿刺影袭","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7830020,7830021","0,-1",,,"1","1",,
"783003","剔骨","","true","false","true","0","","","true","1","1","480","0",,"0",,,"7830030,7830031,7830032,7830132,7830033,7830133,7830034,7830134,7830035","0,-1,-1,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"783004","潜行","","true","false","false","0","","","true","1","7","1","0",,"10+1.2*gradea",,,"7830040","0",,,"1",,,
"783005","闷棍","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7830050,7830051,7830052","0,-1,-1",,,"1","1",,
"783006","女妖之王","","false","false","false","0","","","true","1","10","1","0",,"0",,,"","",,,"",,,
"783007","黑暗游侠","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"791001","火焰之雨","true","true","true","false","0","","1","true","1","4","480","0",,"10+2*gradea",,,"7910010,7910011,7910012,7910013,7910014,7910015","0,0,0,0,0,0",,,"1","1",,
"791002","沉默诅咒","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7910020,7910021","0,-1",,,"1",,,
"791003","生命虹吸","","true","true","false","0","","","true","1","3","480","0",,"10+2*gradea",,,"7910030,7910031","0,1400",,,"1","1",,
"791004","恶魔降临","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7910040,7910041","0,-1",,,"1",,,
"791005","虚弱诅咒","","true","false","false","0","","","true","1","7","480","0",,"10+2*gradea",,,"7910050,7910051,7910052,7910053,7910054,7910055,7910056","0,0,0,0,0,0,0",,,"1",,,
"791006","娇花气质","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7910060","0",,,"",,,
"791007","滔滔不绝","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"792001","火焰之雨","true","true","true","false","0","","1","true","1","4","480","0",,"10+2*gradea",,,"7920010,7920011,7920012,7920013,7920014,7920015","0,0,0,0,0,0",,,"1","1",,
"792002","沉默诅咒","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7920020","0",,,"1",,,
"792003","生命虹吸","","true","true","false","0","","","true","1","3","480","0",,"10+2*gradea",,,"7920030,7920031","0,1400",,,"1","1",,
"792004","恶魔降临","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7920040","0",,,"1",,,
"792005","虚弱诅咒","","true","false","false","0","","","true","1","7","480","0",,"10+2*gradea",,,"7920050,7920051,7920052,7920053,7920054,7920055,7920056","0,0,0,0,0,0,0",,,"1",,,
"792006","胆识过人","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7920060","0",,,"",,,
"792007","上古诅咒","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"792008","邪恶领袖","","false","false","false","0","","","true","1","7","480","0",,"0",,,"","0",,,"",,,
"793001","火焰之雨","true","true","true","false","0","","1","true","1","4","480","0",,"10+2*gradea",,,"7930010,7930011,7930012,7930013,7930014,7930015","0,0,0,0,0,0",,,"1","1",,
"793002","沉默诅咒","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7930020","0",,,"1",,,
"793003","生命虹吸","","true","true","false","0","","","true","1","3","480","0",,"10+2*gradea",,,"7930030,7930031","0,1400",,,"1","1",,
"793004","恶魔降临","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7930040","0",,,"1",,,
"793005","虚弱诅咒","","true","false","false","0","","","true","1","7","480","0",,"10+2*gradea",,,"7930050,7930051,7930052,7930053,7930054,7930055,7930056","0,0,0,0,0,0,0",,,"1",,,
"793006","骑士尊严","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7930060","0",,,"",,,
"793007","天启标记","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"793008","邪恶领袖","","false","false","false","0","","","true","1","7","480","0",,"0",,,"","0",,,"",,,
"794001","火焰之雨","true","true","true","false","0","","1","true","1","4","480","0",,"10+2*gradea",,,"7940010,7940011,7940012,7940013,7940014,7940015","0,0,0,0,0,0",,,"1","1",,
"794002","沉默诅咒","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7940020","0",,,"1",,,
"794003","生命虹吸","","true","true","false","0","","","true","1","3","480","0",,"10+2*gradea",,,"7940030,7940031","0,1400",,,"1","1",,
"794004","恶魔降临","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7940040","0",,,"1",,,
"794005","虚弱诅咒","","true","false","false","0","","","true","1","7","480","0",,"10+2*gradea",,,"7940050,7940051,7940052,7940053,7940054,7940055,7940056","0,0,0,0,0,0,0",,,"1",,,
"794006","时空之轮","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"794007","混沌虚空","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"795001","火焰之雨","true","true","true","false","0","","1","true","1","4","480","0",,"10+2*gradea",,,"7950010,7950011,7950012,7950013,7950014,7950015","0,0,0,0,0,0",,,"1","1",,
"795002","沉默诅咒","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7950020,7950021,7950022","0,-1,-1",,,"1",,,
"795003","生命虹吸","","true","true","false","0","","","true","1","3","480","0",,"10+2*gradea",,,"7950030,7950031","0,1400",,,"1","1",,
"795004","恶魔降临","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7950040,7950041,7950042","0,-1,-1",,,"1",,,
"795005","虚弱诅咒","","true","false","false","0","","","true","1","7","480","0",,"10+2*gradea",,,"7950050,7950051,7950052,7950053,7950054,7950055,7950056","0,0,0,0,0,0,0",,,"1",,,
"795006","恶魔能量","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7950060","0",,,"",,,
"795007","嗜血意志","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
