"子技能ID","子技能名称","属性状态需求","属性状态不符提示","过滤状态","需求状态","关联技能","何种情况下不能执行本技能","选择目标方","选择目标单位类型","选择目标单位关系","生效精准职业编号","生效精确怪物，伙伴ID号","索敌类型","索敌个数","索敌多个.排序变量","子技能触发几率","法术技能最小伤害","主BUFF序号","BUFF0.BUFFID","BUFF0.命中","BUFF0.持续回合","BUFF0.效果","buff0属性状态需求","buff0.buff状态过滤","buff0.buff状态需求","buff0触发几率","BUFF1.BUFFID","BUFF1.命中","BUFF1.持续回合","BUFF1.效果","buff1属性状态需求","buff1.buff状态过滤","buff1.buff状态需求","buff1触发几率","BUFF2.BUFFID","BUFF2.命中","BUFF2.持续回合","BUFF2.效果","buff2属性状态需求","buff2.buff状态过滤","buff2.buff状态需求","buff2触发几率","BUFF3.BUFFID","BUFF3.命中","BUFF3.持续回合","BUFF3.效果","buff3属性状态需求","buff3.buff状态过滤","buff3.buff状态需求","buff3触发几率","脚本配置文件"
"1610014","闪电链5","skilllevela>=70",,,,"1610013","4","2",,,,,"5","1","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610015","闪电链6","skilllevela>=90",,,,"1610014","4","2",,,,,"5","1","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610020","治疗图腾(召唤)",,,,,,"","6",,,,,,,,"1",,"0","510139","1","1","aim_id=24000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610030","闪电箭",,,,,"0","","2",,,,,"1","1",,"1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*2.5-magicdefb+2*skilllevela)*0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610040","先祖之魂复活",,,"509084",,"0","","1",,,,,"9","1",,"1",,"0","510107","1","","curhp_value=medicala*1+1*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610041","先祖之魂加血",,,"509084",,"1610040","4","1",,,,,"3","1",,"1",,"0","510116","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610050","狂热图腾(召唤)",,,,,,"","6",,,,,,,,"1",,"0","510139","1","1","aim_id=24001","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610060","附魔：元素之怒",,,,,"0","",,,,,,,,,"1",,"0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610070","风暴轰击",,,,,"0","","2",,,,,"1","2","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*2.5-magicdefb+2*gradea)*(1+(0.4+0.1*skilllevela)*(1-curmpb/maxmpb))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610071","风暴轰击虚弱休息",,,,,"1610070","4","3",,,,,"0","1",,"1",,"0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","","","","","","","","","","","","","","","","",""
"1610080","萨满被动1",,,,,"0","",,,,,,,,,"1",,"0","506104","1","","speed_value=0.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610090","萨满被动2",,,,,"0","",,,,,,,,,"1",,"0","506105","1","","unseal_value=10*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610100","萨满被动3",,,,,"0","",,,,,,,,,"1",,"0","506106","1","","magicdef_value=1*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610110","治疗图腾(消亡)",,,,,"0","",,,,,,,,,"1",,"0","506107","1","3+min(floor(gradea/70),1)","","","","","","509148","1","999","","","","","","","","","","","","","","","","","","","","","",""
"1610120","狂热图腾(消亡)",,,,,"0","",,,,,,,,,"1",,"0","506107","1","3+min(floor(gradea/70),1)","","","","","","509148","1","999","","","","","","","","","","","","","","","","","","","","","",""
"1610130","治疗图腾(光环)",,,,,"0","","1",,,,,"11","",,"1",,"0","506101","1","4+min(floor(gradea/70),1)","curhp_value=(medicala*3+3*skilllevela)*0.3*(1+healrevisea+healedreviseb)*(1+medicaljiashena/1000+medicalonjiashenb/1000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610140","狂热图腾(光环)",,,,,"0","","1",,,,,"11","",,"1",,"0","506102","1","4+min(floor(gradea/70),1)","phyattack_value=3*skilllevela;speed_value=0.75*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620000","盗贼尊严",,,,,"0","",,,,,,,,,"1",,"0","506203","1","","phyattack_value=2.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620010","淬毒刀扇1",,,,,"0","","2",,,,,"1","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1.05-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620011","淬毒刀扇2",,,,,"1620010","4","2",,,,,"5","1","speed","1",,"0","510113","1","","curhp_value=-(phyattacka*0.9-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620012","淬毒刀扇3","skilllevela>=40",,,,"1620011","4","2",,,,,"5","1","speed","1",,"0","510113","1","","curhp_value=-(phyattacka*0.75-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620013","淬毒刀扇4","skilllevela>=70",,,,"1620012","4","2",,,,,"5","1","speed","1",,"0","510113","1","","curhp_value=-(phyattacka*0.75-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620014","幻影冲锋5现身",,,,,"1620010","4","3",,,,,,,,"1",,"0","509147","1","1","","","","","",,,,"","","","","","","","","","","","","","","","","","","","","",""
"1620015","淬毒刀扇首目标上毒",,,,,"1620010","4","2",,,,,"3","1",,"0.3",,"0","509080","1","3","","","","","","509080","1","4","","","","","","","","","","","","","","","","","","","","","",""
"1620016","淬毒刀扇上毒加星",,,,,"1620015","3,4","3",,,,,"0","1",,"1",,"0","510137","1","","effectpoint_value=1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620020","穿刺影袭",,,,,"0","","2",,,,,"1","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1.1-defendb*0.9+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620021","穿刺影袭加星",,,,,"1620020","3,4","3",,,,,"0","1",,"1",,"0","510137","1","","effectpoint_value=1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620030","剔骨1",,"160004",,,"0","","2",,,,,"1","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620031","剔骨2","",,,,"1620030","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1.05-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620032","剔骨3","effectpointa>=1",,,,"1620031","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1.1-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620132","剔骨3消耗连击点",,,,,"1620032","4","3",,,,,,,,,,"","510137","1","","effectpoint_value=-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620033","剔骨4","effectpointa>=1",,,,"1620032","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1.15-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620133","剔骨4消耗连击点",,,,,"1620033","4","3",,,,,,,,,,"","510137","1","","effectpoint_value=-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620034","剔骨5","effectpointa>=1",,,,"1620033","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1.2-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620134","剔骨5消耗连击点",,,,,"1620034","4","3",,,,,,,,,,"","510137","1","","effectpoint_value=-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620035","剔骨虚弱休息",,,,,"1620030","4","3",,,,,"0","1",,"1",,"0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","510102","1","","curhp_value=-min((random()*(0.13-0.07)+0.07)*maxhpa,curhpa-1)","","","","","","","","","","","","",""
"1620040","潜行",,,,,"0","","3",,,,,"1","1",,"1",,"0","506201","1","randint(2,3)+min(floor(skilllevela/60),1)","","","","","","506202","1","-2","effectpoint_value=1","","","","","","","","","","","","","","","","","","","","",""
"1620050","闷棍",,,,,"0","","2",,,,,"1","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*skilllevela)","","","","","502003","1","2","","","","","","","","","","","","","","","","","","","","","",""
"1620051","闷棍虚弱休息",,,,,"1620050","4","3",,,,,"0","1",,"1",,"0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","effectpointa<2","","","","501008","1","2","operation_type=10","effectpointa<2","","","","510137","1","","effectpoint_value=-1","effectpointa>=2","","","","","","","","","","","",""
"1620052","闷棍扣血",,,,,"1620050","4","3",,,,,"0","1",,"1",,"0","510102","1","","curhp_value=-min(0.28*maxhpa,curhpa-1)","effectpointa<1","","","","","","","","","","","","510137","1","","effectpoint_value=-1","effectpointa>=1","","","","","","","","","","","",""
"1620060","附魔：鲜血饥渴",,,,,"0","",,,,,,,,,"1",,"0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620070","杀戮盛宴1",,,,,"0","","2",,,,,"1","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620071","杀戮盛宴2",,,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620072","杀戮盛宴3","",,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620073","杀戮盛宴4",,,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620074","杀戮盛宴5",,,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620075","杀戮盛宴6",,,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620076","杀戮盛宴7","",,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16200770","杀戮盛宴8","effectpointa>=1",,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16200771","杀戮盛宴9","",,,,"16200770","4","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16201770","杀戮盛宴8消耗连击点",,,,,"16200770","4","3",,,,,,,,,,"","510137","1","","effectpoint_value=-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16200772","杀戮盛宴10","effectpointa>=1",,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16200773","杀戮盛宴11","",,,,"16200772","4","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16201772","杀戮盛宴10消耗连击点",,,,,"16200772","4","3",,,,,,,,,,"","510137","1","","effectpoint_value=-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16200774","杀戮盛宴12","effectpointa>=1",,,,"0","","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16200775","杀戮盛宴13","",,,,"16200774","4","2",,,,,"0","1",,"1",,"0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16201774","杀戮盛宴12消耗连击点",,,,,"16200774","4","3",,,,,,,,,,"","510137","1","","effectpoint_value=-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620078","杀戮盛宴虚弱休息",,,,,"1620070","4","3",,,,,"0","1",,"1",,"0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","","","","","","","","","","","","","","","","",""
"1620080","盗贼被动1",,,,,"0","",,,,,,,,,"1",,"0","506204","1","","speed_value=0.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620090","盗贼被动2",,,,,"0","",,,,,,,,,"1",,"0","506205","1","","unseal_value=10*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620100","盗贼被动3",,,,,"0","",,,,,,,,,"1",,"0","506206","1","","defend_value=1*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630000","恶魔学识",,,,,"0","",,,,,,,,,"1",,"0","506302","1","","sealhit_value=10*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630010","火焰之雨1",,,,,"0","","2",,,,,"1","1",,"1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*(0.5+0.05*(3-preaimcount))","","","","","502002","((sealhita>=unsealb)?(0.98-0.38*pow(0.95,(sealhita/10-unsealb/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)):(0.6*pow(0.9,(unsealb/10-sealhita/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)))*0.5","3","","","","","","","","","","","","","","","","","","","","","",""
"1630011","火焰之雨2",,,,,"1630010","4","2",,,,,"5","1","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*(0.5+0.05*(3-preaimcount))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630012","火焰之雨3",,,,,"1630011","4","2",,,,,"5","1","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*(0.5+0.05*(3-preaimcount))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630013","火焰之雨4","skilllevela>=60",,,,"1630012","4","2",,,,,"5","1","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*(0.5+0.05*(3-preaimcount))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630014","火焰之雨5","skilllevela>=70",,,,"1630013","4","2",,,,,"5","1","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*(0.5+0.05*(3-preaimcount))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630015","火焰之雨6","skilllevela>=90",,,,"1630014","4","2",,,,,"5","1","speed","1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*skilllevela)*(0.5+0.05*(3-preaimcount))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630020","沉默诅咒",,,,,"0","","2",,,,,"1","1",,"1",,"0","502002","(sealhita>=unsealb)?(0.98-0.38*pow(0.95,(sealhita/10-unsealb/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)):(0.6*pow(0.9,(unsealb/10-sealhita/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000))","3+min(floor(skilllevela/60),1)","","","","","","506301","-1","3+min(floor(skilllevela/60),1)","defend_value=-1*skilllevela;magicdef_value=-0.7*skilllevela","","","","","","","","","","","","","","","","","","","","",""
"1630030","生命虹吸上毒",,,,,"0","","2",,,,,"1","1",,"1","3*skilllevela","0","509080","1","3","","","","","","510114","1","","curhp_value=-(magicattacka*2.4-magicdefb+2*skilllevela)*0.3","","","","","","","","","","","","","","","","","","","","",""
"1630031","生命虹吸吸血",,,,,"1630030","4","3",,,,,"4","1","hpmin","1",,"0","510116","1","","curhp_value=abs(maindamage*0.5)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630040","恶魔降临",,,,,"0","","2",,,,,"1","1",,"1",,"0","502004","(sealhita>=unsealb)?(0.98-0.38*pow(0.95,(sealhita/10-unsealb/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)):(0.6*pow(0.9,(unsealb/10-sealhita/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000))","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630050","虚弱诅咒1",,,,,"0","","2",,,,,"1","1",,"1",,"0","506306","1","4+min(floor(skilllevela/60),1)+min(floor(skilllevela/90),1)","magicdef_value=-1.4*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630051","虚弱诅咒2",,,,,"1630050","4","2",,,,,"5","1","speed","1",,"0","506306","1","4+min(floor(skilllevela/60),1)+min(floor(skilllevela/90),1)","magicdef_value=-1.4*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630052","虚弱诅咒3",,,,,"1630051","4","2",,,,,"5","1","speed","1",,"0","506306","1","4+min(floor(skilllevela/60),1)+min(floor(skilllevela/90),1)","magicdef_value=-1.4*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630053","虚弱诅咒4",,,,,"1630052","4","2",,,,,"5","1","speed","1",,"0","506306","1","4+min(floor(skilllevela/60),1)+min(floor(skilllevela/90),1)","magicdef_value=-1.4*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630054","虚弱诅咒5","skilllevela>=50",,,,"1630053","4","2",,,,,"5","1","speed","1",,"0","506306","1","4+min(floor(skilllevela/60),1)+min(floor(skilllevela/90),1)","magicdef_value=-1.4*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630055","虚弱诅咒6","skilllevela>=70",,,,"1630054","4","2",,,,,"5","1","speed","1",,"0","506306","1","4+min(floor(skilllevela/60),1)+min(floor(skilllevela/90),1)","magicdef_value=-1.4*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630056","虚弱诅咒7","skilllevela>=90",,,,"1630055","4","2",,,,,"5","1","speed","1",,"0","506306","1","4+min(floor(skilllevela/60),1)+min(floor(skilllevela/90),1)","magicdef_value=-1.4*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630060","附魔：暗影之力",,,,,"0","",,,,,,,,,"1",,"0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630070","群魔乱舞1",,,,,"0","","2",,,,,"1","1",,"1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*0.5","","","","","502004","1+(enhanceseala-resistsealb)","","","","","","","","","","","","","","","","","","","","","","",""
"1630071","群魔乱舞2",,,,,"1630070","4","2",,,,,"5","1",,"1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*0.5","","","","","502004","((sealhita>=unsealb)?(0.98-0.38*pow(0.95,(sealhita/10-unsealb/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)):(0.6*pow(0.9,(unsealb/10-sealhita/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)))*(0.3+0.05*skilllevela)","3","","","","","","","","","","","","","","","","","","","","","",""
"1630072","群魔乱舞3",,,,,"1630071","4","2",,,,,"5","1",,"1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*0.5","","","","","502004","((sealhita>=unsealb)?(0.98-0.38*pow(0.95,(sealhita/10-unsealb/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)):(0.6*pow(0.9,(unsealb/10-sealhita/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)))*(0.3+0.05*skilllevela)","3","","","","","","","","","","","","","","","","","","","","","",""
"1630073","群魔乱舞4",,,,,"1630072","4","2",,,,,"5","1",,"1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*0.5","","","","","502004","((sealhita>=unsealb)?(0.98-0.38*pow(0.95,(sealhita/10-unsealb/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)):(0.6*pow(0.9,(unsealb/10-sealhita/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)))*(0.3+0.05*skilllevela)","3","","","","","","","","","","","","","","","","","","","","","",""
"1630074","群魔乱舞5",,,,,"1630073","4","2",,,,,"5","1",,"1","3*skilllevela","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*0.5","","","","","502004","((sealhita>=unsealb)?(0.98-0.38*pow(0.95,(sealhita/10-unsealb/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)):(0.6*pow(0.9,(unsealb/10-sealhita/10))+(enhanceseala-resistsealb)+(kongzhijiachenga/1000-kongzhimianyib/1000)))*(0.3+0.05*skilllevela)","3","","","","","","","","","","","","","","","","","","","","","",""
"1630075","群魔乱舞虚弱休息",,,,,"1630070","4","3",,,,,"0","1",,"1",,"0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","","","","","","","","","","","","","","","","",""
"1630080","术士被动1",,,,,"0","",,,,,,,,,"1",,"0","506303","1","","speed_value=0.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630090","术士被动2",,,,,"0","",,,,,,,,,"1",,"0","506304","1","","unseal_value=10*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630100","术士被动3",,,,,"0","",,,,,,,,,"1",,"0","506305","1","","defend_value=1*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710060","新手无敌斩1",,,,,"0","","2",,,,,"1","1",,"1",,"0","510113","1","","curhp_value=-1345","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710061","新手无敌斩2",,,,,"1710060","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-1456","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710062","新手无敌斩3",,,,,"1710061","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-1567","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710063","新手无敌斩4",,,,,"1710062","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-1678","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710064","新手无敌斩5",,,,,"1710063","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-1789","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710065","新手无敌斩6",,,,,"1710064","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-1899","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710066","新手无敌斩7",,,,,"1710065","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-2034","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710067","新手无敌斩8",,,,,"1710066","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-2148","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710068","新手无敌斩9",,,,,"1710067","2,4","2",,,,,"3","1",,"1",,"0","510113","1","","curhp_value=-2299","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710069","新手无敌斩虚弱休息",,,,,"1710060","4","3",,,,,"0","1",,"1",,"0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","","","","","","","","","","","","","","","","",""
"1720060","新手守护圣盾1",,,,,"0","","1",,,,,"1","1",,"1",,"0","502005","1","2","onphysicrevise_value=0.7;onmagicrevise_value=0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720061","新手守护圣盾2","",,,,"1720060","4","1",,,,,"5","1",,"1",,"0","502005","1","2","onphysicrevise_value=0.7;onmagicrevise_value=0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720062","新手守护圣盾3","",,,,"1720061","4","1",,,,,"5","1",,"1",,"0","502005","1","2","onphysicrevise_value=0.7;onmagicrevise_value=0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720063","新手守护圣盾4","",,,,"1720062","4","1",,,,,"5","1",,"1",,"0","502005","1","2","onphysicrevise_value=0.7;onmagicrevise_value=0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720064","新手守护圣盾5","",,,,"1720063","4","1",,,,,"5","1",,"1",,"0","502005","1","2","onphysicrevise_value=0.7;onmagicrevise_value=0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720065","新手守护圣盾虚弱休息",,,,,"1720060","4","3",,,,,"0","1",,"1",,"0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","","","","","","","","","","","","","","","","",""
"1730060","新手奇美拉冲击1",,,,,"0","","2",,,,,"1","1",,"1",,"0","510113","1","","curhp_value=-2320","","","","","502003","1","2","","","","","","","","","","","","","","","","","","","","","",""
"1730061","新手奇美拉冲击2",,,,,"1730060","4","2",,,,,"5","1",,"1",,"0","510113","1","","curhp_value=-1128","","","","","502003","1","2","","","","","","","","","","","","","","","","","","","","","",""
"1730062","新手奇美拉冲击3",,,,,"1730061","4","2",,,,,"5","1",,"1",,"0","510113","1","","curhp_value=-1128","","","","","502003","1","2","","","","","","","","","","","","","","","","","","","","","",""
"1730063","新手奇美拉冲击4",,,,,"1730062","4","2",,,,,"5","1",,"1",,"0","510113","1","","curhp_value=-1128","","","","","502003","1","2","","","","","","","","","","","","","","","","","","","","","",""
"1730064","新手奇美拉冲击5","",,,,"1730060","4","2",,,,,"5","1",,"1",,"0","510113","1","","curhp_value=-1128","","","","","502003","1","2","","","","","","","","","","","","","","","","","","","","","",""
