"装备ID","装备分类","等级","制造图纸ID","制造图纸数量","千年寒铁ID","千年寒铁数量","材料铁1","材料铁数量1","材料铁2","材料铁数量2","材料铁3","材料铁数量3","材料铁4","材料铁数量4","材料铁5","材料铁数量5","材料铁6","材料铁数量6","材料铁7","材料铁数量7","材料铁8","材料铁数量8","材料铁9","材料铁数量9","材料铁10","材料铁数量10","材料铁11","材料铁数量11","材料铁12","材料铁数量12","材料铁13","材料铁数量13","材料铁14","材料铁数量14","材料铁15","材料铁数量15","制造符ID","制造符数量","制造符1","制造符数量1","制造符2","制造符数量2","制造符3","制造符数量3","制造符4","制造符数量4","制造符5","制造符数量5","制造符6","制造符数量6","制造符7","制造符数量7","制造符8","制造符数量8","制造符9","制造符数量9","制造符10","制造符数量10","制造符11","制造符数量11","制造符12","制造符数量12","制造符13","制造符数量13","制造符14","制造符数量14","制造符15","制造符数量15","强化材料ID","强化材料数量","打造金钱消耗","打造消耗金钱类型","强化打造产出装备ID","普通打造装备ID1","普通打造装备概率1","普通打造装备ID2","普通打造装备概率2","普通打造装备ID3","普通打造装备概率3","普通打造装备ID4","普通打造装备概率4","普通打造装备ID5","普通打造装备概率5","强化打造装备ID1","强化打造装备概率1","强化打造装备ID2","强化打造装备概率2","强化打造装备ID3","强化打造装备概率3","强化打造装备ID4","强化打造装备概率4","强化打造装备ID5","强化打造装备概率5"
"41016","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41016",,,,,,,,,,,,,,,,,,,,
"41017","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41017",,,,,,,,,,,,,,,,,,,,
"42000","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42000",,,,,,,,,,,,,,,,,,,,
"42001","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42001",,,,,,,,,,,,,,,,,,,,
"42002","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42002",,,,,,,,,,,,,,,,,,,,
"42003","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42003",,,,,,,,,,,,,,,,,,,,
"42004","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42004",,,,,,,,,,,,,,,,,,,,
"42005","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42005",,,,,,,,,,,,,,,,,,,,
"42006","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42006",,,,,,,,,,,,,,,,,,,,
"42007","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42007",,,,,,,,,,,,,,,,,,,,
"42008","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42008",,,,,,,,,,,,,,,,,,,,
"42009","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42009",,,,,,,,,,,,,,,,,,,,
"42010","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42010",,,,,,,,,,,,,,,,,,,,
"42011","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42011",,,,,,,,,,,,,,,,,,,,
"42012","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42012",,,,,,,,,,,,,,,,,,,,
"42013","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42013",,,,,,,,,,,,,,,,,,,,
"42014","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42014",,,,,,,,,,,,,,,,,,,,
"42015","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42015",,,,,,,,,,,,,,,,,,,,
"42016","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42016",,,,,,,,,,,,,,,,,,,,
"42017","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42017",,,,,,,,,,,,,,,,,,,,
"42018","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42018",,,,,,,,,,,,,,,,,,,,
"42019","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42019",,,,,,,,,,,,,,,,,,,,
"42020","280","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42020",,,,,,,,,,,,,,,,,,,,
"42021","536","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","42021",,,,,,,,,,,,,,,,,,,,
"43000","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43000",,,,,,,,,,,,,,,,,,,,
"43001","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43001",,,,,,,,,,,,,,,,,,,,
"43002","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43002",,,,,,,,,,,,,,,,,,,,
"43003","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43003",,,,,,,,,,,,,,,,,,,,
"43004","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43004",,,,,,,,,,,,,,,,,,,,
"43005","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43005",,,,,,,,,,,,,,,,,,,,
"43006","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43006",,,,,,,,,,,,,,,,,,,,
"43007","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43007",,,,,,,,,,,,,,,,,,,,
"43008","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43008",,,,,,,,,,,,,,,,,,,,
"43009","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43009",,,,,,,,,,,,,,,,,,,,
"43010","40","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","43010",,,,,,,,,,,,,,,,,,,,
"44000","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44000",,,,,,,,,,,,,,,,,,,,
"44001","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44001",,,,,,,,,,,,,,,,,,,,
"44002","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44002",,,,,,,,,,,,,,,,,,,,
"44003","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44003",,,,,,,,,,,,,,,,,,,,
"44004","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44004",,,,,,,,,,,,,,,,,,,,
"44005","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44005",,,,,,,,,,,,,,,,,,,,
"44006","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44006",,,,,,,,,,,,,,,,,,,,
"44007","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44007",,,,,,,,,,,,,,,,,,,,
"44008","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44008",,,,,,,,,,,,,,,,,,,,
"44009","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44009",,,,,,,,,,,,,,,,,,,,
"44010","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44010",,,,,,,,,,,,,,,,,,,,
"44011","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44011",,,,,,,,,,,,,,,,,,,,
"44012","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44012",,,,,,,,,,,,,,,,,,,,
"44013","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44013",,,,,,,,,,,,,,,,,,,,
"44014","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44014",,,,,,,,,,,,,,,,,,,,
"44015","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44015",,,,,,,,,,,,,,,,,,,,
"44016","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44016",,,,,,,,,,,,,,,,,,,,
"44017","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44017",,,,,,,,,,,,,,,,,,,,
"44018","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44018",,,,,,,,,,,,,,,,,,,,
"44019","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44019",,,,,,,,,,,,,,,,,,,,
"44020","312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44020",,,,,,,,,,,,,,,,,,,,
"44021","568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","44021",,,,,,,,,,,,,,,,,,,,
"45000","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45000",,,,,,,,,,,,,,,,,,,,
"45001","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45001",,,,,,,,,,,,,,,,,,,,
"45002","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45002",,,,,,,,,,,,,,,,,,,,
"45003","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45003",,,,,,,,,,,,,,,,,,,,
"45004","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45004",,,,,,,,,,,,,,,,,,,,
"45005","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45005",,,,,,,,,,,,,,,,,,,,
"45006","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45006",,,,,,,,,,,,,,,,,,,,
"45007","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45007",,,,,,,,,,,,,,,,,,,,
"45008","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45008",,,,,,,,,,,,,,,,,,,,
"45009","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45009",,,,,,,,,,,,,,,,,,,,
"45010","72","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","45010",,,,,,,,,,,,,,,,,,,,
"46000","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46000",,,,,,,,,,,,,,,,,,,,
"46001","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46001",,,,,,,,,,,,,,,,,,,,
"46002","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46002",,,,,,,,,,,,,,,,,,,,
"46003","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46003",,,,,,,,,,,,,,,,,,,,
"46004","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46004",,,,,,,,,,,,,,,,,,,,
"46005","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46005",,,,,,,,,,,,,,,,,,,,
"46006","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46006",,,,,,,,,,,,,,,,,,,,
"46007","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46007",,,,,,,,,,,,,,,,,,,,
"46008","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46008",,,,,,,,,,,,,,,,,,,,
"46009","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46009",,,,,,,,,,,,,,,,,,,,
"46010","88","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","46010",,,,,,,,,,,,,,,,,,,,
"5010101","1288","10","350100","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331101","1","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","40008","1","12500","1","6010101","5010101","5500","6010101","4000","7010101","500","","",,,"5010101","0","6010101","7500","7010101","2500",,"",,
"5010102","1288","10","350101","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331101","1","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","40008","1","12500","1","6010102","5010102","5500","6010102","4000","7010102","500","","",,,"5010102","0","6010102","7500","7010102","2500",,"",,
"5010103","1288","10","350102","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331101","1","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","40008","1","12500","1","6010103","5010103","5500","6010103","4000","7010103","500","","",,,"5010103","0","6010103","7500","7010103","2500",,"",,
"5010104","1288","10","350103","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331101","1","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","40008","1","12500","1","6010104","5010104","5500","6010104","4000","7010104","500","","",,,"5010104","0","6010104","7500","7010104","2500",,"",,
"5010105","1288","10","350104","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331101","1","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","40008","1","12500","1","6010105","5010105","5500","6010105","4000","7010105","500","","",,,"5010105","0","6010105","7500","7010105","2500",,"",,
"5010106","1288","10","350105","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331101","1","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","40008","1","12500","1","6010106","5010106","5500","6010106","4000","7010106","500","","",,,"5010106","0","6010106","7500","7010106","2500",,"",,
"5010207","312","10","350111","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331131","1","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","331141","1","331142","1","331143","1","331144","1","331145","1","40010","1","12500","1","6010207","5010207","5500","6010207","4000","7010207","500","","",,,"5010207","0","6010207","7500","7010207","2500",,"",,
"5010208","312","10","350112","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331131","1","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","331141","1","331142","1","331143","1","331144","1","331145","1","40010","1","12500","1","6010208","5010208","5500","6010208","4000","7010208","500","","",,,"5010208","0","6010208","7500","7010208","2500",,"",,
"5010309","280","10","350109","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331131","1","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","331141","1","331142","1","331143","1","331144","1","331145","1","40009","1","12500","1","6010309","5010309","5500","6010309","4000","7010309","500","","",,,"5010309","0","6010309","7500","7010309","2500",,"",,
"5010310","280","10","350110","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331131","1","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","331141","1","331142","1","331143","1","331144","1","331145","1","40009","1","12500","1","6010310","5010310","5500","6010310","4000","7010310","500","","",,,"5010310","0","6010310","7500","7010310","2500",,"",,
"5010411","40","10","350108","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331161","1","331161","1","331162","1","331163","1","331164","1","331165","1","331166","1","331167","1","331168","1","331169","1","331170","1","331171","1","331172","1","331173","1","331174","1","331175","1","40011","1","12500","1","6010411","5010411","5500","6010411","4000","7010411","500","","",,,"5010411","0","6010411","7500","7010411","2500",,"",,
"5010512","72","10","350106","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331161","1","331161","1","331162","1","331163","1","331164","1","331165","1","331166","1","331167","1","331168","1","331169","1","331170","1","331171","1","331172","1","331173","1","331174","1","331175","1","40011","1","12500","1","6010512","5010512","5500","6010512","4000","7010512","500","","",,,"5010512","0","6010512","7500","7010512","2500",,"",,
"5010613","88","10","350107","1","341101","1","341101","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","331161","1","331161","1","331162","1","331163","1","331164","1","331165","1","331166","1","331167","1","331168","1","331169","1","331170","1","331171","1","331172","1","331173","1","331174","1","331175","1","40011","1","12500","1","6010613","5010613","5500","6010613","4000","7010613","500","","",,,"5010613","0","6010613","7500","7010613","2500",,"",,
"5020101","1288","20","350200","1","341102","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","","","331102","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","","","40008","1","17500","1","6020101","5020101","5500","6020101","4000","7020101","500","","",,,"5020101","0","6020101","7500","7020101","2500",,"",,
"5020102","1288","20","350201","1","341102","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","","","331102","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","","","40008","1","17500","1","6020102","5020102","5500","6020102","4000","7020102","500","","",,,"5020102","0","6020102","7500","7020102","2500",,"",,
"5020103","1288","20","350202","1","341102","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","","","331102","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","","","40008","1","17500","1","6020103","5020103","5500","6020103","4000","7020103","500","","",,,"5020103","0","6020103","7500","7020103","2500",,"",,
"5020104","1288","20","350203","1","341102","1","341102","1","341103","1","341104","1","341105","1","341106","1","341107","1","341108","1","341109","1","341110","1","341111","1","341112","1","341113","1","341114","1","341115","1","","","331102","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","331111","1","331112","1","331113","1","331114","1","331115","1","","","40008","1","17500","1","6020104","5020104","5500","6020104","4000","7020104","500","","",,,"5020104","0","6020104","7500","7020104","2500",,"",,
