"id","名称","物品id1","物品id1权重","物品id2","物品id2权重","物品id3","物品id3权重","物品id4","物品id4权重","物品id5","物品id5权重","物品id6","物品id6权重","物品id7","物品id7权重","物品id8","物品id8权重","物品id9","物品id9权重","物品id10","物品id10权重","物品id11","物品id11权重","物品id12","物品id12权重","物品id13","物品id13权重","物品id14","物品id14权重","物品id15","物品id15权重","物品id16","物品id16权重","物品id17","物品id17权重","物品id18","物品id18权重","物品id19","物品id19权重","物品id20","物品id20权重","物品id21","物品id21权重","物品id22","物品id22权重","物品id23","物品id23权重","物品id24","物品id24权重","物品id25","物品id25权重","物品id26","物品id26权重","物品id27","物品id27权重","物品id28","物品id28权重","物品id29","物品id29权重","物品id30","物品id30权重","物品id31","物品id31权重","物品id32","物品id32权重","物品id33","物品id33权重","物品id34","物品id34权重","物品id35","物品id35权重","物品id36","物品id36权重","物品id37","物品id37权重","物品id38","物品id38权重","物品id39","物品id39权重","物品id40","物品id40权重","物品id41","物品id41权重","物品id42","物品id42权重","物品id43","物品id43权重","物品id44","物品id44权重","物品id45","物品id45权重","物品id46","物品id46权重","物品id47","物品id47权重","物品id48","物品id48权重","物品id49","物品id49权重","物品id50","物品id50权重","物品id51","物品id51权重","物品id52","物品id52权重","物品id53","物品id53权重","物品id54","物品id54权重","物品id55","物品id55权重","物品id56","物品id56权重"
"200064","二级药库","320154","100","320155","100","320156","100","320157","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200065","洗单点卷轴库","331000","100","331001","100","331002","100","331003","100","331004","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200066","修炼丹库","334100","100","334101","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200067","打造强化石库","40008","100","40009","100","40010","100","40011","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200068","1级宝石库","35001","100","35002","100","35003","100","35004","100","35005","100","35006","100","35007","100","35008","100","35009","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200069","2级宝石库","35010","100","35011","100","35012","100","35013","100","35014","100","35015","100","35016","100","35017","100","35018","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200070","3级宝石库","35019","100","35020","100","35021","100","35022","100","35023","100","35024","100","35025","100","35026","100","35027","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200071","低级魔兽要诀库","311001","100","311002","100","311003","100","311004","100","311005","100","311006","100","311007","100","311008","100","311009","100","311010","100","311011","100","311012","100","311013","100","311014","100","311015","100","311016","100","311017","100","311018","100","311019","100","311020","100","311021","100","311022","100","311023","100","311024","100","311025","100","311026","100","311027","100","311028","100","311029","100","311030","100","311031","100","311032","100","311033","100","311034","100","311035","100","311036","100","311037","100","311075","100","311076","100","311077","100","311078","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200072","高级魔兽要诀库","311038","100","311039","100","311040","100","311041","100","311042","100","311043","100","311044","100","311045","100","311046","100","311047","100","311048","100","311049","100","311050","100","311051","100","311052","100","311053","100","311054","100","311055","100","311056","100","311057","100","311058","100","311059","100","311060","100","311061","100","311062","100","311063","100","311064","100","311065","100","311066","100","311067","100","311068","100","311069","100","311070","100","311071","100","311072","100","311073","100","311074","100","311079","100","311080","100","311081","100","311082","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200073","光环卷轴库","360001","100","360002","100","360003","100","360004","100","360005","100","360006","100","360007","100","360008","100","360009","100","360010","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200074","珍稀五宝库","331350","100","331351","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200075","普通五宝库","331352","100","331353","200","331354","400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200076","坐骑库","331400","100","331401","300","331402","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200167","硬肉干","320000","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200168","恢复合剂","320100","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200169","经验宝珠","338000","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200170","歌唱水晶","336010","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200171","修理宝石","40013","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200172","光环卷轴碎片","360000","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200173","营养套餐","310000","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200174","高级营养套餐","310001","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200175","资质影砂","310100","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200176","兽王纲要","310101","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200177","太阳井水","310102","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200178","永恒井水","310103","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200179","宠物零食","310200","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200180","藏宝图","331300","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200181","高级藏宝图","331301","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200182","染色石","339000","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200183","蜃楼石","339001","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200184","梦魇染料","339002","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200185","队长礼盒","337009","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200186","10级铁","341101","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200187","20级铁","341102","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200188","30级铁","341103","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200189","40级铁","341104","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200190","50级铁","341105","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200191","60级铁","341106","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200192","70级铁","341107","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200193","80级铁","341108","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200194","90级铁","341109","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200195","100级铁","341110","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200196","110级铁","341111","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200197","120级铁","341112","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200198","130级铁","341113","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200199","140级铁","341114","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200200","150级铁","341115","100",,,,,,"",,"",,"",,,"",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200077","10级打造图纸库","350100","100","350101","100","350102","100","350103","100","350104","100","350105","100","350106","100","350107","100","350108","100","350109","50","350110","50","350111","50","350112","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200078","20级打造图纸库","350200","100","350201","100","350202","100","350203","100","350204","100","350205","100","350206","100","350207","100","350208","100","350209","50","350210","50","350211","50","350212","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200079","30级打造图纸库","350300","100","350301","100","350302","100","350303","100","350304","100","350305","100","350306","100","350307","100","350308","100","350309","50","350310","50","350311","50","350312","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200080","40级打造图纸库","350400","100","350401","100","350402","100","350403","100","350404","100","350405","100","350406","100","350407","100","350408","100","350409","50","350410","50","350411","50","350412","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200081","50级打造图纸库","350500","100","350501","100","350502","100","350503","100","350504","100","350505","100","350506","100","350507","100","350508","100","350509","50","350510","50","350511","50","350512","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200082","60级打造图纸库","350600","100","350601","100","350602","100","350603","100","350604","100","350605","100","350606","100","350607","100","350608","100","350609","50","350610","50","350611","50","350612","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200083","70级打造图纸库","350700","100","350701","100","350702","100","350703","100","350704","100","350705","100","350706","100","350707","100","350708","100","350709","50","350710","50","350711","50","350712","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200084","80级打造图纸库","350800","100","350801","100","350802","100","350803","100","350804","100","350805","100","350806","100","350807","100","350808","100","350809","50","350810","50","350811","50","350812","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200085","90级打造图纸库","350900","100","350901","100","350902","100","350903","100","350904","100","350905","100","350906","100","350907","100","350908","100","350909","50","350910","50","350911","50","350912","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200086","100级打造图纸库","351000","100","351001","100","351002","100","351003","100","351004","100","351005","100","351006","100","351007","100","351008","100","351009","50","351010","50","351011","50","351012","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200087","110级打造图纸库","351100","100","351101","100","351102","100","351103","100","351104","100","351105","100","351106","100","351107","100","351108","100","351109","50","351110","50","351111","50","351112","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200088","120级打造图纸库","351200","100","351201","100","351202","100","351203","100","351204","100","351205","100","351206","100","351207","100","351208","100","351209","50","351210","50","351211","50","351212","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200089","130级打造图纸库","351300","100","351301","100","351302","100","351303","100","351304","100","351305","100","351306","100","351307","100","351308","100","351309","50","351310","50","351311","50","351312","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200090","140级打造图纸库","351400","100","351401","100","351402","100","351403","100","351404","100","351405","100","351406","100","351407","100","351408","100","351409","50","351410","50","351411","50","351412","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200091","150级打造图纸库","351500","100","351501","100","351502","100","351503","100","351504","100","351505","100","351506","100","351507","100","351508","100","351509","50","351510","50","351511","50","351512","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200092","10级环装库","4010101","100","4010102","100","4010103","100","4010104","100","4010105","100","4010106","100","4010207","50","4010208","50","4010309","50","4010310","50","4010411","100","4010512","100","4010613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200093","20级环装库","4020101","100","4020102","100","4020103","100","4020104","100","4020105","100","4020106","100","4020207","50","4020208","50","4020309","50","4020310","50","4020411","100","4020512","100","4020613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200094","30级环装库","4030101","100","4030102","100","4030103","100","4030104","100","4030105","100","4030106","100","4030207","50","4030208","50","4030309","50","4030310","50","4030411","100","4030512","100","4030613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200095","40级环装库","4040101","100","4040102","100","4040103","100","4040104","100","4040105","100","4040106","100","4040207","50","4040208","50","4040309","50","4040310","50","4040411","100","4040512","100","4040613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200096","50级环装库","4050101","100","4050102","100","4050103","100","4050104","100","4050105","100","4050106","100","4050207","50","4050208","50","4050309","50","4050310","50","4050411","100","4050512","100","4050613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200097","60级环装库","4060101","100","4060102","100","4060103","100","4060104","100","4060105","100","4060106","100","4060207","50","4060208","50","4060309","50","4060310","50","4060411","100","4060512","100","4060613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200098","70级环装库","4070101","100","4070102","100","4070103","100","4070104","100","4070105","100","4070106","100","4070207","50","4070208","50","4070309","50","4070310","50","4070411","100","4070512","100","4070613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200099","80级环装库","4080101","100","4080102","100","4080103","100","4080104","100","4080105","100","4080106","100","4080207","50","4080208","50","4080309","50","4080310","50","4080411","100","4080512","100","4080613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200100","90级环装库","4090101","100","4090102","100","4090103","100","4090104","100","4090105","100","4090106","100","4090207","50","4090208","50","4090309","50","4090310","50","4090411","100","4090512","100","4090613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200101","100级环装库","4100101","100","4100102","100","4100103","100","4100104","100","4100105","100","4100106","100","4100207","50","4100208","50","4100309","50","4100310","50","4100411","100","4100512","100","4100613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200102","110级环装库","4110101","100","4110102","100","4110103","100","4110104","100","4110105","100","4110106","100","4110207","50","4110208","50","4110309","50","4110310","50","4110411","100","4110512","100","4110613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200103","120级环装库","4120101","100","4120102","100","4120103","100","4120104","100","4120105","100","4120106","100","4120207","50","4120208","50","4120309","50","4120310","50","4120411","100","4120512","100","4120613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200104","130级环装库","4130101","100","4130102","100","4130103","100","4130104","100","4130105","100","4130106","100","4130207","50","4130208","50","4130309","50","4130310","50","4130411","100","4130512","100","4130613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200105","140级环装库","4140101","100","4140102","100","4140103","100","4140104","100","4140105","100","4140106","100","4140207","50","4140208","50","4140309","50","4140310","50","4140411","100","4140512","100","4140613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200106","150级环装库","4150101","100","4150102","100","4150103","100","4150104","100","4150105","100","4150106","100","4150207","50","4150208","50","4150309","50","4150310","50","4150411","100","4150512","100","4150613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200107","10级绿装库","5010101","100","5010102","100","5010103","100","5010104","100","5010105","100","5010106","100","5010207","50","5010208","50","5010309","50","5010310","50","5010411","100","5010512","100","5010613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200108","20级绿装库","5020101","100","5020102","100","5020103","100","5020104","100","5020105","100","5020106","100","5020207","50","5020208","50","5020309","50","5020310","50","5020411","100","5020512","100","5020613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200109","30级绿装库","5030101","100","5030102","100","5030103","100","5030104","100","5030105","100","5030106","100","5030207","50","5030208","50","5030309","50","5030310","50","5030411","100","5030512","100","5030613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200110","40级绿装库","5040101","100","5040102","100","5040103","100","5040104","100","5040105","100","5040106","100","5040207","50","5040208","50","5040309","50","5040310","50","5040411","100","5040512","100","5040613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200111","50级绿装库","5050101","100","5050102","100","5050103","100","5050104","100","5050105","100","5050106","100","5050207","50","5050208","50","5050309","50","5050310","50","5050411","100","5050512","100","5050613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200112","60级绿装库","5060101","100","5060102","100","5060103","100","5060104","100","5060105","100","5060106","100","5060207","50","5060208","50","5060309","50","5060310","50","5060411","100","5060512","100","5060613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200113","70级绿装库","5070101","100","5070102","100","5070103","100","5070104","100","5070105","100","5070106","100","5070207","50","5070208","50","5070309","50","5070310","50","5070411","100","5070512","100","5070613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200114","80级绿装库","5080101","100","5080102","100","5080103","100","5080104","100","5080105","100","5080106","100","5080207","50","5080208","50","5080309","50","5080310","50","5080411","100","5080512","100","5080613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200115","90级绿装库","5090101","100","5090102","100","5090103","100","5090104","100","5090105","100","5090106","100","5090207","50","5090208","50","5090309","50","5090310","50","5090411","100","5090512","100","5090613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200116","100级绿装库","5100101","100","5100102","100","5100103","100","5100104","100","5100105","100","5100106","100","5100207","50","5100208","50","5100309","50","5100310","50","5100411","100","5100512","100","5100613","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
