"id","光环等级","升级经验","光环id","描述1","描述2","描述3","描述4","描述5","描述6","描述7","描述8","描述9","描述10","被克描述1","被克描述2","被克描述3","被克描述4","被克描述5","被克描述6","被克描述7","被克描述8","被克描述9","被克描述10","效果1","效果2","效果3","效果4","效果5","效果6","效果7","效果8","效果9","效果10","被克效果1","被克效果2","被克效果3","被克效果4","被克效果5","被克效果6","被克效果7","被克效果8","被克效果9","被克效果10"
"22","1","0","5","<T t=""法防+12%""></T>","<T t=""速度+9%""></T>","<T t=""法伤+18%""></T><B></B><T t=""速度-18%""></T>","<T t=""物伤+12%""></T>","<T t=""物防+12%""></T>","","","","","","<T t=""速度+3%(被克制)""></T><B></B><T t=""防御-2%""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+3%(被克制)""></T><B></B><T t=""防御-2%""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","onmagicrevise_value=0.12","speed_percent=0.09","magicrevise_value=0.18;speed_percent=-0.18","physicrevise_value=0.12","onphysicrevise_value=0.12","","","","","","speed_percent=0.03;defend_percent=-0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.03;defend_percent=-0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01"
"23","2","20000","5","<T t=""法防+14%""></T>","<T t=""速度+10.5%""></T>","<T t=""法伤+21%""></T><B></B><T t=""速度-21%""></T>","<T t=""物伤+14%""></T>","<T t=""物防+14%""></T>","","","","","","<T t=""速度+6%(被克制)""></T><B></B><T t=""防御-4%""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+6%(被克制)""></T><B></B><T t=""防御-4%""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","onmagicrevise_value=0.14","speed_percent=0.105","magicrevise_value=0.21;speed_percent=-0.21","physicrevise_value=0.14","onphysicrevise_value=0.14","","","","","","speed_percent=0.06;defend_percent=-0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.06;defend_percent=-0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02"
"24","3","30000","5","<T t=""法防+16%""></T>","<T t=""速度+12%""></T>","<T t=""法伤+24%""></T><B></B><T t=""速度-24%""></T>","<T t=""物伤+16%""></T>","<T t=""物防+16%""></T>","","","","","","<T t=""速度+9%(被克制)""></T><B></B><T t=""防御-6%""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+9%(被克制)""></T><B></B><T t=""防御-6%""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","onmagicrevise_value=0.16","speed_percent=0.12","magicrevise_value=0.24;speed_percent=-0.24","physicrevise_value=0.16","onphysicrevise_value=0.16","","","","","","speed_percent=0.09;defend_percent=-0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.09;defend_percent=-0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03"
"25","4","40000","5","<T t=""法防+18%""></T>","<T t=""速度+13.5%""></T>","<T t=""法伤+27%""></T><B></B><T t=""速度-27%""></T>","<T t=""物伤+18%""></T>","<T t=""物防+18%""></T>","","","","","","<T t=""速度+12%(被克制)""></T><B></B><T t=""防御-8%""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+12%(被克制)""></T><B></B><T t=""防御-8%""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","onmagicrevise_value=0.18","speed_percent=0.135","magicrevise_value=0.27;speed_percent=-0.27","physicrevise_value=0.18","onphysicrevise_value=0.18","","","","","","speed_percent=0.12;defend_percent=-0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.12;defend_percent=-0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04"
"26","5","50000","5","<T t=""法防+20%""></T>","<T t=""速度+15%""></T>","<T t=""法伤+30%""></T><B></B><T t=""速度-30%""></T>","<T t=""物伤+20%""></T>","<T t=""物防+20%""></T>","","","","","","<T t=""速度+15%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+15%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","onmagicrevise_value=0.20","speed_percent=0.15","magicrevise_value=0.30;speed_percent=-0.30","physicrevise_value=0.20","onphysicrevise_value=0.20","","","","","","speed_percent=0.15;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.15;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05"
"27","1","0","6","<T t=""法防+12%""></T>","<T t=""法防+12%""></T>","<T t=""法防+12%""></T>","<T t=""伤害+6%""></T>","<T t=""伤害+6%""></T>","","","","","","<T t=""防御+3%(被克制)""></T><B></B><T t=""速度-2%""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""防御+3%(被克制)""></T><B></B><T t=""速度-2%""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","onmagicrevise_value=0.12","onmagicrevise_value=0.12","onmagicrevise_value=0.12","physicrevise_value=0.06;magicrevise_value=0.06","physicrevise_value=0.06;magicrevise_value=0.06","","","","","","defend_percent=0.03;magicdef_percent=0.03;speed_percent=-0.02","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.015","speed_percent=0.015","defend_percent=0.03;magicdef_percent=0.03;speed_percent=-0.02","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.015","speed_percent=0.015"
"28","2","20000","6","<T t=""法防+14%""></T>","<T t=""法防+14%""></T>","<T t=""法防+14%""></T>","<T t=""伤害+7%""></T>","<T t=""伤害+7%""></T>","","","","","","<T t=""防御+6%(被克制)""></T><B></B><T t=""速度-4%""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""防御+6%(被克制)""></T><B></B><T t=""速度-4%""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","onmagicrevise_value=0.14","onmagicrevise_value=0.14","onmagicrevise_value=0.14","physicrevise_value=0.07;magicrevise_value=0.07","physicrevise_value=0.07;magicrevise_value=0.07","","","","","","defend_percent=0.06;magicdef_percent=0.06;speed_percent=-0.04","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.03","speed_percent=0.03","defend_percent=0.06;magicdef_percent=0.06;speed_percent=-0.04","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.03","speed_percent=0.03"
"29","3","30000","6","<T t=""法防+16%""></T>","<T t=""法防+16%""></T>","<T t=""法防+16%""></T>","<T t=""伤害+8%""></T>","<T t=""伤害+8%""></T>","","","","","","<T t=""防御+9%(被克制)""></T><B></B><T t=""速度-6%""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""防御+9%(被克制)""></T><B></B><T t=""速度-6%""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","onmagicrevise_value=0.16","onmagicrevise_value=0.16","onmagicrevise_value=0.16","physicrevise_value=0.08;magicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","","","","","","defend_percent=0.09;magicdef_percent=0.09;speed_percent=-0.06","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045","defend_percent=0.09;magicdef_percent=0.09;speed_percent=-0.06","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045"
"30","4","40000","6","<T t=""法防+18%""></T>","<T t=""法防+18%""></T>","<T t=""法防+18%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","","","","","","<T t=""防御+12%(被克制)""></T><B></B><T t=""速度-8%""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""防御+12%(被克制)""></T><B></B><T t=""速度-8%""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","onmagicrevise_value=0.18","onmagicrevise_value=0.18","onmagicrevise_value=0.18","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","","","","","","defend_percent=0.12;magicdef_percent=0.12;speed_percent=-0.08","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06","defend_percent=0.12;magicdef_percent=0.12;speed_percent=-0.08","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06"
"31","5","50000","6","<T t=""法防+20%""></T>","<T t=""法防+20%""></T>","<T t=""法防+20%""></T>","<T t=""伤害+10%""></T>","<T t=""伤害+10%""></T>","","","","","","<T t=""防御+15%(被克制)""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""防御+15%(被克制)""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","onmagicrevise_value=0.20","onmagicrevise_value=0.20","onmagicrevise_value=0.20","physicrevise_value=0.10;magicrevise_value=0.10","physicrevise_value=0.10;magicrevise_value=0.10","","","","","","defend_percent=0.15;magicdef_percent=0.15;speed_percent=-0.1","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075","defend_percent=0.15;magicdef_percent=0.15;speed_percent=-0.1","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075"
"32","1","0","7","<T t=""防御+24%""></T><B></B><T t=""速度-18%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","<T t=""速度+6%""></T>","<T t=""速度+6%""></T>","","","","","","<T t=""防御+2%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+2%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","onphysicrevise_value=0.24;onmagicrevise_value=0.24;speed_percent=-0.18","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","speed_percent=0.06","speed_percent=0.06","","","","","","defend_percent=0.02;magicdef_percent=0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.02;magicdef_percent=0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015"
"33","2","20000","7","<T t=""防御+28%""></T><B></B><T t=""速度-21%""></T>","<T t=""伤害+10.5%""></T>","<T t=""伤害+10.5%""></T>","<T t=""速度+7%""></T>","<T t=""速度+7%""></T>","","","","","","<T t=""防御+4%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+4%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","onphysicrevise_value=0.28;onmagicrevise_value=0.28;speed_percent=-0.21","physicrevise_value=0.105;magicrevise_value=0.105","physicrevise_value=0.105;magicrevise_value=0.105","speed_percent=0.07","speed_percent=0.07","","","","","","defend_percent=0.04;magicdef_percent=0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.04;magicdef_percent=0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03"
"34","3","30000","7","<T t=""防御+32%""></T><B></B><T t=""速度-24%""></T>","<T t=""伤害+12%""></T>","<T t=""伤害+12%""></T>","<T t=""速度+8%""></T>","<T t=""速度+8%""></T>","","","","","","<T t=""防御+6%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","onphysicrevise_value=0.32;onmagicrevise_value=0.32;speed_percent=-0.24","physicrevise_value=0.12;magicrevise_value=0.12","physicrevise_value=0.12;magicrevise_value=0.12","speed_percent=0.08","speed_percent=0.08","","","","","","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045"
"35","4","40000","7","<T t=""防御+36%""></T><B></B><T t=""速度-27%""></T>","<T t=""伤害+13.5%""></T>","<T t=""伤害+13.5%""></T>","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","","","","","","<T t=""防御+8%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+8%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","onphysicrevise_value=0.36;onmagicrevise_value=0.36;speed_percent=-0.27","physicrevise_value=0.135;magicrevise_value=0.135","physicrevise_value=0.135;magicrevise_value=0.135","speed_percent=0.09","speed_percent=0.09","","","","","","defend_percent=0.08;magicdef_percent=0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.08;magicdef_percent=0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06"
"36","5","50000","7","<T t=""防御+40%""></T><B></B><T t=""速度-30%""></T>","<T t=""伤害+15%""></T>","<T t=""伤害+15%""></T>","<T t=""速度+10%""></T>","<T t=""速度+10%""></T>","","","","","","<T t=""防御+10%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+10%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","onphysicrevise_value=0.40;onmagicrevise_value=0.40;speed_percent=-0.30","physicrevise_value=0.15;magicrevise_value=0.15","physicrevise_value=0.15;magicrevise_value=0.15","speed_percent=0.10","speed_percent=0.10","","","","","","defend_percent=0.1;magicdef_percent=0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.1;magicdef_percent=0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075"
"37","1","0","8","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","","","","","","<T t=""伤害+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","speed_percent=0.09","speed_percent=0.09","speed_percent=0.09","speed_percent=0.09","speed_percent=0.09","","","","","","phyattack_percent=0.015;magicattack_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.015;magicattack_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01"
"38","2","20000","8","<T t=""速度+10.5%""></T>","<T t=""速度+10.5%""></T>","<T t=""速度+10.5%""></T>","<T t=""速度+10.5%""></T>","<T t=""速度+10.5%""></T>","","","","","","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","speed_percent=0.105","speed_percent=0.105","speed_percent=0.105","speed_percent=0.105","speed_percent=0.105","","","","","","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02"
"39","3","30000","8","<T t=""速度+12%""></T>","<T t=""速度+12%""></T>","<T t=""速度+12%""></T>","<T t=""速度+12%""></T>","<T t=""速度+12%""></T>","","","","","","<T t=""伤害+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","speed_percent=0.12","speed_percent=0.12","speed_percent=0.12","speed_percent=0.12","speed_percent=0.12","","","","","","phyattack_percent=0.045;magicattack_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.045;magicattack_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03"
"40","4","40000","8","<T t=""速度+13.5%""></T>","<T t=""速度+13.5%""></T>","<T t=""速度+13.5%""></T>","<T t=""速度+13.5%""></T>","<T t=""速度+13.5%""></T>","","","","","","<T t=""伤害+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","speed_percent=0.135","speed_percent=0.135","speed_percent=0.135","speed_percent=0.135","speed_percent=0.135","","","","","","phyattack_percent=0.06;magicattack_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.06;magicattack_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04"
"41","5","50000","8","<T t=""速度+15%""></T>","<T t=""速度+15%""></T>","<T t=""速度+15%""></T>","<T t=""速度+15%""></T>","<T t=""速度+15%""></T>","","","","","","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","speed_percent=0.15","speed_percent=0.15","speed_percent=0.15","speed_percent=0.15","speed_percent=0.15","","","","","","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05"
"42","1","0","9","<T t=""防御+9%""></T>","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","<T t=""伤害+6%""></T>","<T t=""伤害+6%""></T>","","","","","","<T t=""防御+2%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""防御+2%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","onphysicrevise_value=0.09;onmagicrevise_value=0.09","speed_percent=0.09","speed_percent=0.09","physicrevise_value=0.06;magicrevise_value=0.06","physicrevise_value=0.06;magicrevise_value=0.06","","","","","","defend_percent=0.02;magicdef_percent=0.02","speed_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","defend_percent=0.02;magicdef_percent=0.02","speed_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01"
