"编号","名称","称谓","造型id","随机造型id","显示血量","显示等级","战斗单位类型","怪物类型","特殊类型","职业","类型","大小比例","area1colour","area2colour","对应宠物","颜色几率id","是否绑定","等级模式","NPC等级","怪物匹配最小等级","怪物匹配最大等级","能否捕捉","能否捕捉2","捕捉几率","逃跑几率","免疫状态id","反击几率","反击伤害系数","初始属性点","初始属性分配类型","每级新增属性点","每级体质加点","每级智力加点","每级力量加点","每级耐力加点","每级敏捷加点","怪物体资","怪物法资","怪物攻资","怪物防资","怪物速资","怪物躲资","怪物成长率","治疗强度成长","控制命中成长","控制抗性成长","暗雷加点1","暗雷加点2","暗雷加点3","暗雷加点4","技能1编号","技能2编号","技能3编号","技能4编号","技能5编号","技能6编号","技能1出现几率","技能2出现几率","技能3出现几率","技能4出现几率","技能5出现几率","技能6出现几率","技能1施放几率","技能2施放几率","技能3施放几率","技能4施放几率","技能5施放几率","技能6施放几率","AI编号","金属性吸收","木属性吸收","水属性吸收","火属性吸收","土属性吸收","加强封印","封印抗性","外功暴击等级","外功暴击程度","外功暴击抗性","内功暴击等级","内功暴击抗性","内功暴击程度","反击等级","反击程度","单场反击次数","反击抗性","外功反震等级","外功反震程度","外功反震抗性","连击率","连击次数","追击率","追击次数","修炼等级基准","物攻修炼等级","物防修炼等级","法攻修炼等级","法防修炼等级","强封修炼等级","封抗修炼等级","技能1系数","技能2系数","技能3系数","技能4系数","技能5系数","技能6系数","技能1常数","技能2常数","技能3常数","技能4常数","技能5常数","技能6常数"
"22084","血色猎犬精英",,,,"1","0","4","2","","","2","1","0","0","500184","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2720","3110","1210","1380","0","1850","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206005","206019","206037","206001","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22085","血色猎犬精英",,,,"1","0","4","2","","","2","1","0","0","500185","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2720","3110","1210","1380","0","1850","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206005","206019","206037","206001","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22086","血色猎犬精英",,,,"1","0","4","2","","","2","1","0","0","500186","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2720","3110","1210","1380","0","1850","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206005","206019","206037","206001","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22087","幽灵精英",,,,"1","0","4","2","","","2","1","0","0","500187","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2180","2490","1810","2070","0","1850","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206029","206032","207003","206006","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22088","幽灵精英",,,,"1","0","4","2","","","2","1","0","0","500188","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2180","2490","1810","2070","0","1850","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206029","206032","207003","206006","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22089","血色士兵精英",,,,"1","0","4","2","","","2","1","0","0","500189","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3270","3730","1510","1730","0","1850","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206063","206017","206005","206004","206036","","1000","1000","333","333","333","","0","0","0","0","0","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22090","土元素精英",,,,"1","0","4","2","","","2","1","0","0","500190","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2820","3230","1880","2150","0","1850","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","207007","206046","206011","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22091","土元素精英",,,,"1","0","4","2","","","2","1","0","0","500191","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2820","3230","1880","2150","0","1850","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","207007","206046","206011","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22092","土元素精英",,,,"1","0","4","2","","","2","1","0","0","500192","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2820","3230","1880","2150","0","1850","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","207007","206046","206011","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22093","半人马精英",,,,"1","0","4","2","","","2","1","0","0","500193","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3390","3870","1250","1430","0","1850","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","206057","206067","206001","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22094","半人马精英",,,,"1","0","4","2","","","2","1","0","0","500194","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3390","3870","1250","1430","0","1850","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","206057","206067","206001","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22095","鞭笞者精英",,,,"1","0","4","2","","","2","1","0","0","500195","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2820","3230","1250","1430","0","1850","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206050","206039","206001","206019","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22096","摧毁者精英",,,,"1","0","4","2","","","2","1","0","0","500196","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3510","4010","1300","1480","0","1850","1186","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","206039","206037","206023","","","1000","333","333","333","","","0","0","0","0","0","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22097","摧毁者精英",,,,"1","0","4","2","","","2","1","0","0","500197","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3510","4010","1300","1480","0","1250","1186","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","206039","206037","206023","","","1000","333","333","333","","","0","0","0","0","0","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22098","摧毁者精英",,,,"1","0","4","2","","","2","1","0","0","500198","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3510","4010","1300","1480","0","1250","1186","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","206039","206037","206023","","","1000","333","333","333","","","0","0","0","0","0","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22099","虚空恐魔精英",,,,"1","0","4","2","","","2","1","0","0","500199","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2340","2670","1950","2230","0","1200","1186","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206059","207005","206043","206060","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22100","虚空恐魔精英",,,,"1","0","4","2","","","2","1","0","0","500200","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2340","2670","1950","2230","0","1300","1186","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206059","207005","206043","206060","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22101","食人魔精英",,,,"1","0","4","2","","","2","1","0","0","500201","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3510","4010","1620","1860","0","1350","1186","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206066","206072","206003","206028","206033","","1000","1000","333","333","333","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22102","绿飞龙精英",,,,"1","0","4","2","","","2","1","0","0","500202","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3630","4150","2020","2300","0","1300","1216","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206056","207008","206043","206045","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22103","绿飞龙精英",,,,"1","0","4","2","","","2","1","0","0","500203","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3630","4150","2020","2300","0","1400","1216","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206056","207008","206043","206045","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22104","绿飞龙精英",,,,"1","0","4","2","","","2","1","0","0","500204","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3630","4150","2020","2300","0","1400","1216","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206056","207008","206043","206045","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22105","预言者精英",,,,"1","0","4","2","","","2","1","0","0","500205","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2420","2760","1340","1540","0","1450","1216","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206001","206056","206065","206005","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22106","预言者精英",,,,"1","0","4","2","","","2","1","0","0","500206","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2420","2760","1340","1540","0","1350","1216","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206001","206056","206065","206005","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22107","骨飞龙精英",,,,"1","0","4","2","","","2","1","0","0","500207","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3020","3460","1340","1540","0","1250","1216","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206060","206050","206058","206059","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22108","炎魔使者精英",,,,"1","0","4","2","","","2","1","0","0","500208","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3750","4290","2080","2380","0","1450","1246","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206070","207005","206051","206060","","","1000","333","333","333","","","0","0","500","0","0","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22109","炎魔使者精英",,,,"1","0","4","2","","","2","1","0","0","500209","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3750","4290","2080","2380","0","1250","1246","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206070","207005","206051","206060","","","1000","333","333","333","","","0","0","500","0","0","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22110","炎魔使者精英",,,,"1","0","4","2","","","2","1","0","0","500210","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3750","4290","2080","2380","0","1250","1246","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206070","207005","206051","206060","","","1000","333","333","333","","","0","0","500","0","0","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22111","黑铁矮人精英",,,,"1","0","4","2","","","2","1","0","0","500211","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3750","4290","1740","1980","0","1450","1246","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206050","206058","206057","206067","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22112","黑铁矮人精英",,,,"1","0","4","2","","","2","1","0","0","500212","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3750","4290","1740","1980","0","1200","1246","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206050","206058","206057","206067","","","1000","333","333","333","","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22113","铁炉牧师精英",,,,"1","0","4","2","","","2","1","0","0","500213","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2500","2860","2080","2380","0","1350","1246","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206043","207006","206046","206045","","","1000","333","333","333","","","0","500","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22114","死亡骑士精英",,,,"1","0","4","2","","","2","1","0","0","500214","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2580","2950","1430","1640","0","1500","1276","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206072","206052","206058","206038","206051","","1000","333","333","333","333","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22115","死亡骑士精英",,,,"1","0","4","2","","","2","1","0","0","500215","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2580","2950","1430","1640","0","1400","1276","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206072","206052","206058","206038","206051","","1000","333","333","333","333","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22116","死亡骑士精英",,,,"1","0","4","2","","","2","1","0","0","500216","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","2580","2950","1430","1640","0","1400","1276","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206072","206052","206058","206038","206051","","1000","333","333","333","333","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
"22117","食尸鬼精英",,,,"1","0","4","2","","","2","1","0","0","500217","1","0","5","0","0","150","1","true","333","0","-1","0","0","50","1","5","1","1","1","1","1","3870","4420","1430","1640","0","1550","1276","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206040","206066","206069","206039","206049","","1000","333","333","333","333","","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0"
