"id","职业","策划备注","等级","装备","技能\等级","修炼等级","公会技能","宝石等级"
"5030","小德男女","50级小德男女标准","50","5050103;5050104;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1411@50;1412@50;1413@50;1414@50;1415@50;1416@50;1417@50;1418@50","0","0","0"
"5031","小德男女","50级小德男女标准+1","50","6050103;6050104;6050207;6050208;6050309;6050310;6040411;6040512;6040613","1411@50;1412@50;1413@50;1414@50;1415@50;1416@50;1417@50;1418@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5032","小德男女","50级小德男女标准+2","50","7050103;7050104;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1411@50;1412@50;1413@50;1414@50;1415@50;1416@50;1417@50;1418@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5033","小德男女","50级小德男女标准+3","50","8050103;8050104;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1411@50;1412@50;1413@50;1414@50;1415@50;1416@50;1417@50;1418@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5040","法师男女","50级法师男女标准","50","5050105;5050106;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1511@50;1512@50;1513@50;1514@50;1515@50;1516@50;1517@50;1518@50","0","0","0"
"5041","法师男女","50级法师男女标准+1","50","6050105;6050106;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1511@50;1512@50;1513@50;1514@50;1515@50;1516@50;1517@50;1518@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5042","法师男女","50级法师男女标准+2","50","7050105;7050106;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1511@50;1512@50;1513@50;1514@50;1515@50;1516@50;1517@50;1518@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5043","法师男女","50级法师男女标准+3","50","8050105;8050106;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1511@50;1512@50;1513@50;1514@50;1515@50;1516@50;1517@50;1518@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5050","牧师男女","50级牧师男女标准","50","5050105;5050106;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1611@50;1612@50;1613@50;1614@50;1615@50;1616@50;1617@50;1618@50","0","0","0"
"5051","牧师男女","50级牧师男女标准+1","50","6050105;6050106;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1611@50;1612@50;1613@50;1614@50;1615@50;1616@50;1617@50;1618@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5052","牧师男女","50级牧师男女标准+2","50","7050105;7050106;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1611@50;1612@50;1613@50;1614@50;1615@50;1616@50;1617@50;1618@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5053","牧师男女","50级牧师男女标准+3","50","8050105;8050106;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1611@50;1612@50;1613@50;1614@50;1615@50;1616@50;1617@50;1618@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5060","萨满男","50级萨满男标准","50","5050101;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1711@50;1712@50;1713@50;1714@50;1715@50;1716@50;1717@50;1718@50","0","0","0"
"5061","萨满男","50级萨满男标准+1","50","6050101;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1711@50;1712@50;1713@50;1714@50;1715@50;1716@50;1717@50;1718@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5062","萨满男","50级萨满男标准+2","50","7050101;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1711@50;1712@50;1713@50;1714@50;1715@50;1716@50;1717@50;1718@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5063","萨满男","50级萨满男标准+3","50","8050101;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1711@50;1712@50;1713@50;1714@50;1715@50;1716@50;1717@50;1718@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5070","盗贼男女","50级盗贼男女标准","50","5050103;5050104;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1811@50;1812@50;1813@50;1814@50;1815@50;1816@50;1817@50;1818@50","0","0","0"
"5071","盗贼男女","50级盗贼男女标准+1","50","6050103;6050104;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1811@50;1812@50;1813@50;1814@50;1815@50;1816@50;1817@50;1818@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5072","盗贼男女","50级盗贼男女标准+2","50","7050103;7050104;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1811@50;1812@50;1813@50;1814@50;1815@50;1816@50;1817@50;1818@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5073","盗贼男女","50级盗贼男女标准+3","50","8050103;8050104;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1811@50;1812@50;1813@50;1814@50;1815@50;1816@50;1817@50;1818@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5080","术士男女","50级术士男女标准","50","5050105;5050106;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1911@50;1912@50;1913@50;1914@50;1915@50;1916@50;1917@50;1918@50","0","0","0"
"5081","术士男女","50级术士男女标准+1","50","6050105;6050106;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1911@50;1912@50;1913@50;1914@50;1915@50;1916@50;1917@50;1918@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5082","术士男女","50级术士男女标准+2","50","7050105;7050106;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1911@50;1912@50;1913@50;1914@50;1915@50;1916@50;1917@50;1918@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5083","术士男女","50级术士男女标准+3","50","8050105;8050106;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1911@50;1912@50;1913@50;1914@50;1915@50;1916@50;1917@50;1918@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"6000","战士男女","60级战士男女标准","60","5060101;5060102;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1111@60;1112@60;1113@60;1114@60;1115@60;1116@60;1117@60;1118@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6001","战士男女","60级战士男女标准+1","60","6060101;6060102;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1111@60;1112@60;1113@60;1114@60;1115@60;1116@60;1117@60;1118@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6002","战士男女","60级战士男女标准+2","60","7060101;7060102;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1111@60;1112@60;1113@60;1114@60;1115@60;1116@60;1117@60;1118@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6003","战士男女","60级战士男女标准+3","60","8060101;8060102;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1111@60;1112@60;1113@60;1114@60;1115@60;1116@60;1117@60;1118@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6010","猎人男女","60级猎人男女标准","60","5060103;5060104;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1311@60;1312@60;1313@60;1314@60;1315@60;1316@60;1317@60;1318@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6011","猎人男女","60级猎人男女标准+1","60","6060103;6060104;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1311@60;1312@60;1313@60;1314@60;1315@60;1316@60;1317@60;1318@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6012","猎人男女","60级猎人男女标准+2","60","7060103;7060104;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1311@60;1312@60;1313@60;1314@60;1315@60;1316@60;1317@60;1318@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6013","猎人男女","60级猎人男女标准+3","60","8060103;8060104;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1311@60;1312@60;1313@60;1314@60;1315@60;1316@60;1317@60;1318@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6020","圣骑女","60级圣骑女标准","60","5060102;5060207;5060208;5060309;5060310;5060411;5060512;5060513","1211@60;1212@60;1213@60;1214@60;1215@60;1216@60;1217@60;1218@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6021","圣骑女","60级圣骑女标准+1","60","6060102;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1211@60;1212@60;1213@60;1214@60;1215@60;1216@60;1217@60;1218@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6022","圣骑女","60级圣骑女标准+2","60","7060102;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1211@60;1212@60;1213@60;1214@60;1215@60;1216@60;1217@60;1218@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6023","圣骑男女","60级圣骑女标准+3","60","8060102;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1211@60;1212@60;1213@60;1214@60;1215@60;1216@60;1217@60;1218@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6030","小德男女","60级小德男女标准","60","5060103;5060104;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1411@60;1412@60;1413@60;1414@60;1415@60;1416@60;1417@60;1418@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6031","小德男女","60级小德男女标准+1","60","6060103;6060104;6060207;6060208;6060309;6060310;6040411;6040512;6040613","1411@60;1412@60;1413@60;1414@60;1415@60;1416@60;1417@60;1418@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6032","小德男女","60级小德男女标准+2","60","7060103;7060104;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1411@60;1412@60;1413@60;1414@60;1415@60;1416@60;1417@60;1418@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6033","小德男女","60级小德男女标准+3","60","8060103;8060104;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1411@60;1412@60;1413@60;1414@60;1415@60;1416@60;1417@60;1418@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6040","法师男女","60级法师男女标准","60","5060105;5060106;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1511@60;1512@60;1513@60;1514@60;1515@60;1516@60;1517@60;1518@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6041","法师男女","60级法师男女标准+1","60","6060105;6060106;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1511@60;1512@60;1513@60;1514@60;1515@60;1516@60;1517@60;1518@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6042","法师男女","60级法师男女标准+2","60","7060105;7060106;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1511@60;1512@60;1513@60;1514@60;1515@60;1516@60;1517@60;1518@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6043","法师男女","60级法师男女标准+3","60","8060105;8060106;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1511@60;1512@60;1513@60;1514@60;1515@60;1516@60;1517@60;1518@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6050","牧师男女","60级牧师男女标准","60","5060105;5060106;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1611@60;1612@60;1613@60;1614@60;1615@60;1616@60;1617@60;1618@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6051","牧师男女","60级牧师男女标准+1","60","6060105;6060106;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1611@60;1612@60;1613@60;1614@60;1615@60;1616@60;1617@60;1618@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6052","牧师男女","60级牧师男女标准+2","60","7060105;7060106;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1611@60;1612@60;1613@60;1614@60;1615@60;1616@60;1617@60;1618@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6053","牧师男女","60级牧师男女标准+3","60","8060105;8060106;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1611@60;1612@60;1613@60;1614@60;1615@60;1616@60;1617@60;1618@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6060","萨满男","60级萨满男标准","60","5060101;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1711@60;1712@60;1713@60;1714@60;1715@60;1716@60;1717@60;1718@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6061","萨满男","60级萨满男标准+1","60","6060101;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1711@60;1712@60;1713@60;1714@60;1715@60;1716@60;1717@60;1718@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6062","萨满男","60级萨满男标准+2","60","7060101;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1711@60;1712@60;1713@60;1714@60;1715@60;1716@60;1717@60;1718@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6063","萨满男","60级萨满男标准+3","60","8060101;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1711@60;1712@60;1713@60;1714@60;1715@60;1716@60;1717@60;1718@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6070","盗贼男女","60级盗贼男女标准","60","5060103;5060104;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1811@60;1812@60;1813@60;1814@60;1815@60;1816@60;1817@60;1818@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6071","盗贼男女","60级盗贼男女标准+1","60","6060103;6060104;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1811@60;1812@60;1813@60;1814@60;1815@60;1816@60;1817@60;1818@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6072","盗贼男女","60级盗贼男女标准+2","60","7060103;7060104;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1811@60;1812@60;1813@60;1814@60;1815@60;1816@60;1817@60;1818@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6073","盗贼男女","60级盗贼男女标准+3","60","8060103;8060104;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1811@60;1812@60;1813@60;1814@60;1815@60;1816@60;1817@60;1818@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6080","术士男女","60级术士男女标准","60","5060105;5060106;5060207;5060208;5060309;5060310;5060411;5060512;5060613","1911@60;1912@60;1913@60;1914@60;1915@60;1916@60;1917@60;1918@60","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"6081","术士男女","60级术士男女标准+1","60","6060105;6060106;6060207;6060208;6060309;6060310;6060411;6060512;6060613","1911@60;1912@60;1913@60;1914@60;1915@60;1916@60;1917@60;1918@60","360011@3;360012@3;360013@3;360014@3;360020@3;360021@3;360022@3;360023@3","320103@70;320104@70","35046;35047;35048;35049;35050;35051;35052;35053;35054"
"6082","术士男女","60级术士男女标准+2","60","7060105;7060106;7060207;7060208;7060309;7060310;7060411;7060512;7060613","1911@60;1912@60;1913@60;1914@60;1915@60;1916@60;1917@60;1918@60","360011@4;360012@4;360013@4;360014@4;360020@4;360021@4;360022@4;360023@4","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"6083","术士男女","60级术士男女标准+3","60","8060105;8060106;8060207;8060208;8060309;8060310;8060411;8060512;8060613","1911@60;1912@60;1913@60;1914@60;1915@60;1916@60;1917@60;1918@60","360011@5;360012@5;360013@5;360014@5;360020@5;360021@5;360022@5;360023@5","320103@70;320104@70","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"7000","战士男女","70级战士男女标准","70","5070101;5070102;5070207;5070208;5070309;5070310;5070411;5070512;5070613","1111@70;1112@70;1113@70;1114@70;1115@70;1116@70;1117@70;1118@70","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"7001","战士男女","70级战士男女标准+1","70","6070101;6070102;6070207;6070208;6070309;6070310;6070411;6070512;6070613","1111@70;1112@70;1113@70;1114@70;1115@70;1116@70;1117@70;1118@70","360011@10;360012@10;360013@10;360014@10;360020@10;360021@10;360022@10;360023@10","320103@80;320104@80","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"7002","战士男女","70级战士男女标准+2","70","7070101;7070102;7070207;7070208;7070309;7070310;7070411;7070512;7070613","1111@70;1112@70;1113@70;1114@70;1115@70;1116@70;1117@70;1118@70","360011@12;360012@12;360013@12;360014@12;360020@12;360021@12;360022@12;360023@12","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7003","战士男女","70级战士男女标准+3","70","8070101;8070102;8070207;8070208;8070309;8070310;8070411;8070512;8070613","1111@70;1112@70;1113@70;1114@70;1115@70;1116@70;1117@70;1118@70","360011@14;360012@14;360013@14;360014@14;360020@14;360021@14;360022@14;360023@14","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7010","猎人男女","70级猎人男女标准","70","5070103;5070104;5070207;5070208;5070309;5070310;5070411;5070512;5070613","1311@70;1312@70;1313@70;1314@70;1315@70;1316@70;1317@70;1318@70","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"7011","猎人男女","70级猎人男女标准+1","70","6070103;6070104;6070207;6070208;6070309;6070310;6070411;6070512;6070613","1311@70;1312@70;1313@70;1314@70;1315@70;1316@70;1317@70;1318@70","360011@10;360012@10;360013@10;360014@10;360020@10;360021@10;360022@10;360023@10","320103@80;320104@80","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"7012","猎人男女","70级猎人男女标准+2","70","7070103;7070104;7070207;7070208;7070309;7070310;7070411;7070512;7070613","1311@70;1312@70;1313@70;1314@70;1315@70;1316@70;1317@70;1318@70","360011@12;360012@12;360013@12;360014@12;360020@12;360021@12;360022@12;360023@12","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7013","猎人男女","70级猎人男女标准+3","70","8070103;8070104;8070207;8070208;8070309;8070310;8070411;8070512;8070613","1311@70;1312@70;1313@70;1314@70;1315@70;1316@70;1317@70;1318@70","360011@14;360012@14;360013@14;360014@14;360020@14;360021@14;360022@14;360023@14","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7020","圣骑女","70级圣骑女标准","70","5070102;5070207;5070208;5070309;5070310;5070411;5070512;5070513","1211@70;1212@70;1213@70;1214@70;1215@70;1216@70;1217@70;1218@70","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"7021","圣骑女","70级圣骑女标准+1","70","6070102;6070207;6070208;6070309;6070310;6070411;6070512;6070613","1211@70;1212@70;1213@70;1214@70;1215@70;1216@70;1217@70;1218@70","360011@10;360012@10;360013@10;360014@10;360020@10;360021@10;360022@10;360023@10","320103@80;320104@80","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"7022","圣骑女","70级圣骑女标准+2","70","7070102;7070207;7070208;7070309;7070310;7070411;7070512;7070613","1211@70;1212@70;1213@70;1214@70;1215@70;1216@70;1217@70;1218@70","360011@12;360012@12;360013@12;360014@12;360020@12;360021@12;360022@12;360023@12","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7023","圣骑男女","70级圣骑女标准+3","70","8070102;8070207;8070208;8070309;8070310;8070411;8070512;8070613","1211@70;1212@70;1213@70;1214@70;1215@70;1216@70;1217@70;1218@70","360011@14;360012@14;360013@14;360014@14;360020@14;360021@14;360022@14;360023@14","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7030","小德男女","70级小德男女标准","70","5070103;5070104;5070207;5070208;5070309;5070310;5070411;5070512;5070613","1411@70;1412@70;1413@70;1414@70;1415@70;1416@70;1417@70;1418@70","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"7031","小德男女","70级小德男女标准+1","70","6070103;6070104;6070207;6070208;6070309;6070310;6070411;6070512;6070613","1411@70;1412@70;1413@70;1414@70;1415@70;1416@70;1417@70;1418@70","360011@10;360012@10;360013@10;360014@10;360020@10;360021@10;360022@10;360023@10","320103@80;320104@80","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"7032","小德男女","70级小德男女标准+2","70","7070103;7070104;7070207;7070208;7070309;7070310;7070411;7070512;7070613","1411@70;1412@70;1413@70;1414@70;1415@70;1416@70;1417@70;1418@70","360011@12;360012@12;360013@12;360014@12;360020@12;360021@12;360022@12;360023@12","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7033","小德男女","70级小德男女标准+3","70","8070103;8070104;8070207;8070208;8070309;8070310;8070411;8070512;8070613","1411@70;1412@70;1413@70;1414@70;1415@70;1416@70;1417@70;1418@70","360011@14;360012@14;360013@14;360014@14;360020@14;360021@14;360022@14;360023@14","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7040","法师男女","70级法师男女标准","70","5070105;5070106;5070207;5070208;5070309;5070310;5070411;5070512;5070613","1511@70;1512@70;1513@70;1514@70;1515@70;1516@70;1517@70;1518@70","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"7041","法师男女","70级法师男女标准+1","70","6070105;6070106;6070207;6070208;6070309;6070310;6070411;6070512;6070613","1511@70;1512@70;1513@70;1514@70;1515@70;1516@70;1517@70;1518@70","360011@10;360012@10;360013@10;360014@10;360020@10;360021@10;360022@10;360023@10","320103@80;320104@80","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"7042","法师男女","70级法师男女标准+2","70","7070105;7070106;7070207;7070208;7070309;7070310;7070411;7070512;7070613","1511@70;1512@70;1513@70;1514@70;1515@70;1516@70;1517@70;1518@70","360011@12;360012@12;360013@12;360014@12;360020@12;360021@12;360022@12;360023@12","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7043","法师男女","70级法师男女标准+3","70","8070105;8070106;8070207;8070208;8070309;8070310;8070411;8070512;8070613","1511@70;1512@70;1513@70;1514@70;1515@70;1516@70;1517@70;1518@70","360011@14;360012@14;360013@14;360014@14;360020@14;360021@14;360022@14;360023@14","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7050","牧师男女","70级牧师男女标准","70","5070105;5070106;5070207;5070208;5070309;5070310;5070411;5070512;5070613","1611@70;1612@70;1613@70;1614@70;1615@70;1616@70;1617@70;1618@70","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"7051","牧师男女","70级牧师男女标准+1","70","6070105;6070106;6070207;6070208;6070309;6070310;6070411;6070512;6070613","1611@70;1612@70;1613@70;1614@70;1615@70;1616@70;1617@70;1618@70","360011@10;360012@10;360013@10;360014@10;360020@10;360021@10;360022@10;360023@10","320103@80;320104@80","35055;35056;35057;35058;35059;35060;35061;35062;35063"
"7052","牧师男女","70级牧师男女标准+2","70","7070105;7070106;7070207;7070208;7070309;7070310;7070411;7070512;7070613","1611@70;1612@70;1613@70;1614@70;1615@70;1616@70;1617@70;1618@70","360011@12;360012@12;360013@12;360014@12;360020@12;360021@12;360022@12;360023@12","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7053","牧师男女","70级牧师男女标准+3","70","8070105;8070106;8070207;8070208;8070309;8070310;8070411;8070512;8070613","1611@70;1612@70;1613@70;1614@70;1615@70;1616@70;1617@70;1618@70","360011@14;360012@14;360013@14;360014@14;360020@14;360021@14;360022@14;360023@14","320103@80;320104@80","35064;35065;35066;35067;35068;35069;35070;35071;35072"
"7060","萨满男","70级萨满男标准","70","5070101;5070207;5070208;5070309;5070310;5070411;5070512;5070613","1711@70;1712@70;1713@70;1714@70;1715@70;1716@70;1717@70;1718@70","360011@2;360012@2;360013@2;360014@2;360020@2;360021@2;360022@2;360023@2","0","0"
"7061","萨满男","70级萨满男标准+1","70","6070101;6070207;6070208;6070309;6070310;6070411;6070512;6070613","1711@70;1712@70;1713@70;1714@70;1715@70;1716@70;1717@70;1718@70","360011@10;360012@10;360013@10;360014@10;360020@10;360021@10;360022@10;360023@10","320103@80;320104@80","35055;35056;35057;35058;35059;35060;35061;35062;35063"
