"服务编号","子服务1","子服务2","子服务3","子服务4","子服务5","子服务6","条件1","参数11","参数12","条件2","参数21","参数22","条件3","参数31","参数32","条件4","参数41","参数42","条件5","参数51","参数52","条件6","参数61","参数62","条件7","参数71","参数72","条件8","参数81","参数82","条件9","参数91","参数92","标示图标","描述","菜单介绍","打开网页","是否自动"
"100135","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100141","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100142","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100143","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100144","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100145","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100151","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100152","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100153","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100154","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100155","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100161","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100162","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100163","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100164","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100165","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100171","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100172","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100173","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100174","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100175","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100176","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100177","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100178","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100179","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100180","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100181","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100182","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"5","挑战","","","1"
"100183",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","公会任务提交",,,"1"
"100184",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","暗夜马戏团提交",,,"1"
"100185",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","暗夜马戏团提交",,,"1"
"100186",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","挑战",,,"1"
"100202","","","","","","","2","12","12","1","35","155","8","1060000","1","7","1060000","3",,,,,,,,,,,,,,,,"1","提交公会任务",,"",
"100203","","","","","","","2","13","13","1","35","155","8","1060000","1","7","1060000","3",,,,,,,,,,,,,,,,"1","提交公会任务",,"",
"100204","","","","","","","2","16","16","1","35","155","8","1060000","1","7","1060000","3",,,,,,,,,,,,,,,,"1","提交公会任务",,"",
"100205","","","","","","","2","11","11","1","35","155","8","1060000","1","7","1060000","3",,,,,,,,,,,,,,,,"1","提交公会任务",,"",
"100206","","","","","","","2","15","15","1","35","155","8","1060000","1","7","1060000","3",,,,,,,,,,,,,,,,"1","提交公会任务",,"",
"100207",,,,,,,"1","35","155","8","1060000","1","7","1060000","4",,,,,,,,,,,,,,,,,,,"5","公会任务-挑战",,,
"100209","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"1","便捷组队",,"",
"100210","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"1","便捷组队",,"",
"100211","","","","","","","2","14","14","1","50","155","8","1080000","1","7","1080000","3",,,,,,,,,,,,,,,,"1","提交暗夜马戏团任务",,"",
"100212","","","","","","","2","12","12","1","50","155","8","1080000","1","7","1080000","3",,,,,,,,,,,,,,,,"1","提交暗夜马戏团任务",,"",
"100213","","","","","","","2","13","13","1","50","155","8","1080000","1","7","1080000","3",,,,,,,,,,,,,,,,"1","提交暗夜马戏团任务",,"",
"100214","","","","","","","2","16","16","1","50","155","8","1080000","1","7","1080000","3",,,,,,,,,,,,,,,,"1","提交暗夜马戏团任务",,"",
"100215","","","","","","","2","11","11","1","50","155","8","1080000","1","7","1080000","3",,,,,,,,,,,,,,,,"1","提交暗夜马戏团任务",,"",
"100216","","","","","","","2","15","15","1","50","155","8","1080000","1","7","1080000","3",,,,,,,,,,,,,,,,"1","提交暗夜马戏团任务",,"",
"100217","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","开启宝箱",,"",
"100301",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","挑战",,,
"100302",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","挑战",,,
"100303",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","挑战",,,
"100304",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","挑战",,,
"100305",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送1级血精石",,,
"100306",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送番茄浓汤",,,
"100307",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要答题",,,
"100308",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","教训一下",,,
"100309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","公会求助",,,
"100310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","世界求助",,,
"100311",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送1级血精石",,,
"100312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","赠送番茄浓汤",,,
"100313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要答题",,,
"100314",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100317",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100320",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100323",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100326",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100329",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100332",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100335",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100338",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100340",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送1级血精石",,,
"100341",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送1级血精石",,,
"100342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","赠送番茄浓汤",,,
"100343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","赠送番茄浓汤",,,
"100351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","赠送1级血精石",,,
"100352",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送番茄浓汤",,,
"100353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要答题",,,
"100354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100355",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100358",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100361",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100364",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100367",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100370",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100373",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100377",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","我要挑战",,,
"100380",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送1级血精石",,,
"100381",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","赠送1级血精石",,,
"100382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","赠送番茄浓汤",,,
"100383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","赠送番茄浓汤",,,
"100400",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","精英副本",,,
"100401",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","这是什么怪物","",,
"100402",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你的前方没有光明","",,
"100403",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","一只龟也这么嚣张","",,
"100404",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","看起来你的状态并不好","",,
"100405",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我可不想一直呆在这鬼地方","",,
"100406",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","真以为自己是大BOSS啊",,,
"100407",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","应聘？我是来收编你们的！",,,
"100408",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","闻起来有点像暗黑料理啊！",,,
"100409",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","看起来你的处境并不好！",,,
"100410",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","交出所有财宝饶你不死！",,,
"100411",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","阁下还是安息吧！",,,
"100412",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","一群乌合之众而已！",,,
"100413",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","看起来也不怎么样吗！",,,
"100414",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","这个地方不需要战争！",,,
"100415",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","黑暗永远战胜不了光明！",,,
"100416",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你比你的祖先差远了！",,,
"100417",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","这声音一定不好听！",,,
"100418",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","不管怎么说我来了！",,,
"100419",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你的美学理论很非主流！",,,
"100420",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你的死亡一定会是不断的！",,,
"100421",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","可惜你的狗被你饿的疯狂！",,,
"100422",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","奥术的强大你不懂！",,,
"100423",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","那就来战吧！",,,
"100424",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你貌似说反了吧！",,,
"100425",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我是分割线！",,,
"100426",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","那我来试试看！",,,
"100427",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你看起来有点恶心！",,,
"100428",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","这个我真的相信！",,,
"100429",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","看起来也不怎么样吗！",,,
"100430",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你能用什么证明！",,,
"100431",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","大概是需要修剪一下了！",,,
"100432",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你确定你有过青春！",,,
"100433",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你要是投降我给你肉吃！",,,
"100434",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我悄悄的走行不行！",,,
"100435",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","没什么好说的了战吧！",,,
"100436",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","那就要看是谁死了！",,,
"100437",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","其实我也是！",,,
"100438",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","那就教训教训你！",,,
"100439",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","感觉还蛮内涵的！",,,
"100440",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","看的出来，不如你投诚吧！",,,
"100441",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","这个看你的名字我就知道了！",,,
"100442",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","同样的话送给你！",,,
"100443",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","或许你是对的！",,,
"100444",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我也不知道为什么要和你对战！",,,
"100445",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","那就手底下见真章吧！",,,
"100446",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","看起来还不错！",,,
"100447",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","你说的是天黑吗？",,,
"100448",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","不要那么自恋好不好！",,,
"100449",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","对我就是那谁家那小谁！",,,
"100450",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","我可不是下大的！",,,
"100451",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","异度学院1",,,
"100452",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","异度学院2",,,
"100453",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","异度学院3",,,
"100454",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","异度学院4",,,
"100455",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","异度学院5",,,
"100456",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","邪兽堡垒1",,,
"100457",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","邪兽堡垒2",,,
"100458",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","邪兽堡垒3",,,
"100459",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","邪兽堡垒4",,,
"100460",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","邪兽堡垒5",,,
"100461",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","背叛之手1",,,
"100462",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","背叛之手2",,,
"100463",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","背叛之手3",,,
"100464",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","背叛之手4",,,
"100465",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","背叛之手5",,,
"100466",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","娜迦之谋1",,,
"100467",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","娜迦之谋2",,,
"100468",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","娜迦之谋3",,,
"100469",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","娜迦之谋4",,,
"100470",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","娜迦之谋5",,,
"100471",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","悲伤墓地1",,,
"100472",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","悲伤墓地2",,,
"100473",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","悲伤墓地3",,,
"100474",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","悲伤墓地4",,,
"100475",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","悲伤墓地5",,,
"100476",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","纳鲁之城1",,,
"100477",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","纳鲁之城2",,,
"100478",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","纳鲁之城3",,,
"100479",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","纳鲁之城4",,,
"100480",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","纳鲁之城5",,,
"100481",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","死亡之歌1",,,
"100482",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","死亡之歌2",,,
"100483",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","死亡之歌3",,,
"100484",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","死亡之歌4",,,
"100485",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","死亡之歌5",,,
"100486",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","粉碎阴谋1",,,
"100487",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","粉碎阴谋2",,,
"100488",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","粉碎阴谋3",,,
"100489",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","粉碎阴谋4",,,
"100490",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","粉碎阴谋5",,,
"100491",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","时空之路1",,,
"100492",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","时空之路2",,,
"100493",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","时空之路3",,,
"100494",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","时空之路4",,,
"100495",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","时空之路5",,,
"100496",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","英雄平台1",,,
"100497",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","英雄平台2",,,
"100498",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","英雄平台3",,,
"100499",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","英雄平台4",,,
"100500",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","英雄平台5",,,
"100501",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","抓捕",,,
"100600",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","礼包兑换码",,,
"100601",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"2","公会专精",,,
"100602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","便捷组队",,,
"100703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","回收系统","<T t=""你想要回收什么野生宠物呢。""></T>",,
"100704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","博学者试炼",,,
"100800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","开始染色",,,
"100801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","保存当前染色方案",,,
"900015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","熔火之心",,,
"900016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","纳克萨玛斯",,,
"910000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","送我去竞技场",,,
"910001","10001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","竞技场说明","<T t=""1、竞技场为单人玩法，可以携带伙伴进行战斗""></T><B/><T t=""2、队伍中封印、治疗和辅助职业个数总和不能超过3个。""></T><B/><T t=""3、战斗获得的荣誉可以解锁伙伴，兑换物品。""></T>",,
"910002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","参加竞技场",,,
"910003","10001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","竞技场规则","<T t=""1、竞技场为单人玩法，可以携带伙伴进行战斗""></T><B/><T t=""2、队伍中封印、治疗和辅助职业个数总和不能超过3个。""></T><B/><T t=""3、战斗获得的荣誉可以解锁伙伴，兑换物品。""></T>",,
"910004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","离开竞技场",,,
"910005","910006","910007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","领取奖励",,,
"910006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","首胜奖励",,,
"910007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","五战奖励",,,
"910010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","送我去3v3竞技场",,,
"910011","10001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3v3竞技场说明","<T t=""1、3v3竞技场为PVP玩法,不可携带伙伴战斗,玩家45级均可参与.""></T><B/><T t=""2、3v3竞技场战斗分为精英组(45-69级)、神威组(70-89级)、王者组(90级及以上)，不同组别玩家不可跨组组队战斗。""></T><B/><T t=""3、3V3竞技场周排行积分在每周日零点重置。""></T>",,
"910012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","参加3v3竞技场",,,
"910013","10001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3v3竞技场规则","<T t=""1、3v3竞技场为PVP玩法,不可携带伙伴战斗,玩家45级均可参与.""></T><B/><T t=""2、3v3竞技场战斗分为精英组(45-69级)、神威组(70-89级)、王者组(90级及以上)，不同组别玩家不可跨组组队战斗。""></T><B/><T t=""3、3V3竞技场周排行积分在每周日零点重置。""></T>",,
"910014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","离开3v3竞技场",,,
"910015","910016","910017","910018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","领取奖励",,,
"910016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","首胜奖励",,,
"910017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","十战奖励",,,
"910018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","五胜奖励",,,
"910020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","送我去5v5竞技场",,,
