"id","对应npc（策划用）","对白"
"2424","预言者","你的到来预示着死亡的来临！"
"2425","要拉唯握","要我怎么说呢！其实我也不知道说什么好！"
"2426","要塞卡耳","不管怎么说，想要继续走下去，先击败我！"
"2427","依兰内裤斯","说真的这名字让我羞愧欲死！"
"2428","好卡化身","作为黑暗的化身我一直压力很大！"
"2429","俺哥是将军","俺要告诉你的是俺哥是将军！"
"2430","酒保","如果你跪地求饶，我就请你喝酒怎么样！"
"2431","大使","人应该有理想，万一实现了呢！"
"2432","大奶同需","其实我并不喜欢我的名字，我为什么会叫这么个名字呢！"
"2433","锁惢深大帝","只有弱者才会去祈求宽恕，来战吧！"
"2434","安娜丝美丽","我的名字叫美丽，那么你觉得我美丽吗！"
"2435","苍白者","终有一天无尽的黑暗将笼罩大地！"
"2436","死骑瑞文","死亡的骑者才是真正的神秘与高贵！"
"2437","镇长","你就是那谁家那小谁吧！"
"2438","恐惧领主","在我的恐惧下颤抖吧！凡人！"
"2439","希尔瓦娜斯","男人来自火星，我来自墓穴。"
"2440","希尔瓦娜斯","记住被遗忘者的含义，我们既非生者也非死者。"
"2441","希尔瓦娜斯","我们遗忘过去，并且被过去遗忘。"
"2442","旅馆老板","如果感觉累了，那就过来找我吧！"
"2443","旅馆老板","什么？你问我这旅馆是几星级的？"
"2444","旅馆老板","听说过帆船酒店吗？我们这可比那里高档多了！"
"2450","哀木涕","我是MT，MT岂能丢下同伴先逃跑！"
"2451","大小姐","少废话，要么去战，要么自行了断！"
"2452","神棍德","这位兄弟,我看你气度不凡,谈吐间隐隐有王霸之气,日后必有一番作为……买个银鳞胸甲不?"
"2453","劣人","我近战劣人可不是吃干饭的！"
"2454","法丝","身为法师要懂得灵活运用魔法。"
"2455","沐丝","葛格，和我一起去冒险吧。"
"2456","萨满","真的猛士，敢于直面惨淡的人生，敢于正视淋漓的鲜血，要是惧怕痛苦，惧怕疾病，惧怕不测的事， 惧怕生命的危险和死亡，你就会什么都不能忍受的！"
"2457","盗贼姑娘","不光好的装备是战斗取胜的关键，意识也同样重要。"
"2458","术虱","啊……回想当年我孤身一人独自奔赴联盟老巢暴风城，我这朵娇花被摧残了一百遍啊，一百遍。"
"2460","牛头人酋长","天灾的那些骨头架子最近越来越嚣张了，你就是新来的冒险者吗？"
"2461","光芒使者","正义将得到伸张，天灾将得到我的耳光，小子，你就是新来的吗？"
"2462","玛佛里","为了抵御天灾，我们正在召集人手，你就是新来的冒险者吗？"
"2463","兽王","天灾们的臭味都传到雷霆要塞来了，你的加入非常及时。"
"2464","卡尔索斯","邪恶的天灾正在接近艾泽大陆，欢迎你的加入，法师学徒。"
"2465","不朽者","最近天灾们的活动越来越频繁了，欢迎加入，英勇的冒险者"
"2466","沃尔金","部落才是我的族人，当然我也真诚的欢迎你的到来。"
"2467","女王希尔","辛多雷，以太阳之名，欢迎新同胞的加入，我们终将在天灾的尸体上吟诵胜歌。"
"2468","古尔迪安","没人可以奴役我们。欢迎你，术士新手。"
"2470","飞行管理员","请购买航空保险，在空难、坠海、无故被抛离、单程变往返后，能够让您免去死亡的后顾之忧，只要您付出5000g就能在您嗝屁后让您的受益人得到1g的赔偿。"
"2480","凯恩血蹄","兽人永不为奴，而我们必将为王。"
"2481","凯恩血蹄","万象众生，将在地狱咆哮面前臣服。"
"2490","沃尔金","我的一生注定将处于流浪之中。"
"2491","沃尔金","我听到了旷野的召唤。"
"2500","地中海","Let's go!（来，死狗……）"
"2510","阿格拉","祖母的病痛越来越严重，虽然她总是没事，但我知道她那是在强忍着。"
"2511","阿格拉","老是从祖母口中听说古伊尔的事情，他真的是那么伟大的一个人么。"
"2512","阿格拉","真希望祖母早点好起来，玛格汉部落不能没有她。"
"2513","阿格拉","年轻的地狱咆哮如果再这样浑噩下去，恐怕那些不安分的食人魔迟早会对我们部落下手。"
"2520","暗血蛮兵","食人魔迟早会统治整个纳格兰！"
"2521","暗血蛮兵","最近分配的食物越来越不够量了，那些该死的兽人该还回属于我们的地盘了！"
"2522","暗血蛮兵","如果能知道那些兽人们的布防情况，我们就可以一举攻下玛格汉部落。"
"2525","玛格汉战士","美丽的阿格拉最近总是愁眉苦脸，是因为我最近都没有战功么，还是我真的想多了……"
"2526","玛格汉战士","或许我应该勇敢地向阿格拉表达我的心思……嗯，再等等，等我刺杀了食人魔督军后我就去向他表白。"
"2527","玛格汉战士","我要努力保护我们的家园，保护我的阿格拉！"
"2530","加尔鲁什","我为什么会有那样的父亲！"
"2531","加尔鲁什","只要我一想起族人们在我背后指指点点，我就羞愧不已，因为我是罪人的儿子。"
"2532","加尔鲁什","我愿意用我的生命来换取解除氏族的血之诅咒。"
"2535","祖母盖亚安","我剩下的日子不多了，真想亲眼见一见我的孙子古伊尔。"
"2536","祖母盖亚安","年轻的地狱咆哮一直沉浸在父亲的阴霾中，他真的太过倔强了……"
"2537","祖母盖亚安","古伊尔这个孩子善良单纯，是个贤妻良母的好料子。"
"2540","玛格汉药剂师","祖母的病真的无药可救了么？！一定是我学艺不精！！"
"2541","玛格汉药剂师","我最近打听到一个神奇的药方，可需要的药材也太过于苛刻了。"
"2542","玛格汉药剂师","看到阿格拉最近也开始郁郁寡欢了，我真恨我自己，没能力治好祖母的病痛。"
"2545","奥罗巴","最近突然有很多绿皮肤的野蛮人总来拔我的胡子，搞不懂……"
"2546","奥罗巴","我不知道我为什么叫这个名字，他们说是父亲给我起的，但我从没有见过我的父亲。"
"2547","奥罗巴","我不喜欢被叫奥罗巴，我倒是觉得欧巴这个名字比较好听。"
"2550","格罗姆","不胜利，毋宁死。"
"2551","格罗姆","我从不吝惜用我的生命来救赎我的氏族。"
"2552","格罗姆","我从没有后悔我做的每一个决定，因为那是我能想到的最好的抉择。"
"2553","格罗姆","想想我的孩子，偶尔我也会悔恨不已，他一定会因为他有一个不被世人所理解的父亲而苦恼。"
"2560","塞纳留斯","玛法里奥这个孩子天赋真的很不错，他那个兄弟伊利丹可就差远了。"
"2561","塞纳留斯","我是森林的守护神！我将守护一切属于暗夜精灵的领地。"
"2562","塞纳留斯","森林附近最近出现了很多的绿皮兽人，或许该给他们点教训了。"
"2563","塞纳留斯","那个祭司泰兰德长得还真是可人，也难怪我的大弟子总是翘课去跟她约会。"
"2565","树灵长老","我听从守护神塞纳留斯的召唤！"
"2566","树灵长老","我们从不主动攻击其它人，当他们企图侵犯森林的时候除外。"
"2567","树灵长老","在月亮井水的滋养下，新生的小树苗长得越来越健康了。"
"2570","巫医","我相信战歌酋长的每一个决定都是有他的道理！"
"2571","巫医","最近部落的战士中在流传着跟酋长不利的消息，这让我很苦恼。"
"2572","巫医","等我研制出专门解除诅咒的药水就能让战歌氏族的同胞们彻底摆脱深渊魔王的控制了。"
"2575","深渊魔王马诺洛斯","萨格拉斯万岁！燃烧军团万岁！"
"2576","深渊魔王马诺洛斯","一万年前，我曾经被那些可恶的精灵赶回虚空，这一次我会让他们常常瘟疫的滋味。"
"2577","深渊魔王马诺洛斯","可恶的森林守护神塞纳留斯，如果不是那群该死的德鲁伊，我的计划早在一万年前就得手了。"
"2580","恐惧魔王提克迪奥斯","恐惧魔王只是暂时依附于燃烧军团，我们有着自己的宏图之愿。"
"2581","恐惧魔王提克迪奥斯","巫妖王最近获得了新的肉体，或许属于我们恐惧魔王的机会就要来到了。"
"2582","恐惧魔王提克迪奥斯","单靠巫妖王还不够让强大的邪恶泰坦分神，我应该用古尔丹的头颅做点事情了……"
"2585","月女祭司","艾露恩，请告诉我究竟在他俩中应该选择谁！"
"2586","月女祭司","怒风他们兄弟最近都对我表白了，可我究竟该在他俩中选择谁呢！"
"2587","月女祭司","好喜欢伊利丹酷酷的样子，玛法里奥虽然嘴笨长相老成但总愿意陪着我呢。"
"2588","月女祭司","我的小白猫最近食欲不好，不知道是不是因为之前误食了我的香蕉的原因。"
"2590","吉安娜","安东尼老师真是小气，那天偷偷骑他老人家的小白马溜达了几圈还被骂了。"
"2591","吉安娜","艾尔索斯，不知道他是否还记得我和他的约定，虽然他已经……"
"2592","吉安娜","不知道为什么，我和那个兽人酋长在一起的时候竟然有一种奇怪的感觉，依托？安全感？天啊，我怎么……"
"2593","吉安娜","如果能够就此平息联盟和部落间的战争，就算牺牲什么我都愿意。"
"2594","冰封王座70-1","在gank前，我需要积攒更多的灵魂。"
"2595","冰封王座70-5","拿几个煎饼走吧，老塔儿。"
"2596","冰封王座70-6","小矮子，别做自不量力的事情。"
"2597","冰封王座70-7","是时候给自己找点乐子了，不是么？"
"2598","冰封王座70-8","敞开你的胸怀，拥抱死亡吧。"
"2599","冰封王座70-9","黑夜给了我黑色的眼睛，我用它来寻找猎物。"
"2600","冰封王座70-10","先生，你踩到我的脚了。"
"2601","冰封王座70-11","我打扰到你了么，我没碰到你啊！我打扰到你了么，我没碰到你啊！现在，是不是很烦躁呢？"
"2602","冰封王座70-12","你看我这么美丽，可不可以让我吃掉你呢。"
"2603","冰封王座70-13","听说你挺喜欢踩死小强来着？"
"2604","冰封王座70-14","你的那些小手段到此为止了！"
"2605","冰封王座70-15","过来好好打一架，胆小鬼。"
"2606","冰封王座70-16","从娱乐性上来说你的魔法确实技高一筹！"
"2607","冰封王座70-17","我的魔法会把你撕成碎片。"
"2608","冰封王座70-18","让我掠走你的灵魂。"
"2609","冰封王座70-19","放过我吧，我是有码的。"
"2610","冰封王座70-20","我感觉很难受……"
"2611","冰封王座70-21","不要以为你不在我的菜单上就会放过你，我从来不挑食。"
"2612","冰封王座70-22","让我好好抱抱你。"
"2613","冰封王座70-23","在我面前，法术也救不了！"
"2614","冰封王座70-24","你的噩梦现在才刚刚开始……"
"2615","冰封王座70-25","我不止打铁的功夫了得，打人也一向厉害。"
"2616","冰封王座70-26","你想要我的战马？600回合之后我们再来商量。"
"2617","冰封王座70-27","对不起，我不能让你通过这里。"
"2618","冰封王座70-28","生而平等？我从来都不相信。"
"2619","冰封王座70-29","我是陆地的霸主，除非你拥有小鹿。"
"2620","冰封王座70-30","末日即将来临，天启指日可待。"
"2621","伊利丹","你们这是自寻死路！"
"2622","伊利丹","感受我一万年的仇恨吧！"
"2623","伊利丹","我是瞎了，但还没聋！"
"2624","伊利丹","你知道吗？都一万年了，泰兰德还是很漂亮，至少他们是这么告诉我的！"
"2625","玛维","正义终将得到伸张！"
"2626","玛维","我的猎物就在附近。"
"2627","玛维","只有犯罪者才会对我感到恐惧！"
"2628","玛维","你认为你能凌驾于法律之上？"
"2629","阿克蒙德","颤抖吧！绝望吧！凡人们，这个世界的末日到来了！"
"2630","阿克蒙德","你们的世界会被烧尽！"
"2631","法斯琪","机会来了，一个活口都不要留下！"
"2632","法斯琪","水就是生命，在水里我们是最强大的！"
"2633","法斯琪","再说一遍，我们是娜迦，不是蛇！"
"2634","克尔苏加德","左边的骷髅们！右边的女妖们！会唱的跟我一起唱！"
"2635","克尔苏加德","天灾军团是不可被战胜的！"
"2636","克尔苏加德","噢！我真是害怕极了！"
"2637","领袖弟子","领袖弟子每周由职业内所有成员共同选出，只有人品和武功都出众的弟子才有可能担当呦！现在正是领袖弟子选拔时间，抓紧机会报名吧！报名在周四24:00结束，报名结束后才可以投票！"
"2638","领袖弟子","领袖弟子评选正在火热进行中，快为你心目中的领袖弟子头上一票吧！"
"2639","冰封王座90-1","霜狼氏族，准备作战！"
"2640","冰封王座90-5","你们这些可恶的猪头人，休想要通过我的领地！"
"2641","冰封王座90-6","作为猎物，你这个体型倒是勉强算合格。"
"2642","冰封王座90-7","目标出现，准备冲锋！"
"2643","冰封王座90-8","你的那些手段对我来说就像是在挠痒痒！"
"2644","冰封王座90-9","你如果还抱着能活着出去的念想，我劝你先看看我的日记。"
"2645","冰封王座90-10","嗯，我闻到了新鲜血液的味道。"
"2646","冰封王座90-11","乖乖的来让我咬一口，我可以把你变成蜘蛛侠。"
"2647","冰封王座90-12","别离我太近，我是远视眼。"
"2648","冰封王座90-13","别想威胁我，我可是被吓大的。"
"2649","冰封王座90-14","别怕，我不吃肉只吸血。"
"2650","冰封王座90-15","在暴风雪中颤抖吧，蝼蚁。"
"2651","冰封王座90-16","我的法术通常都很灵验的，所以你最好离我远一点。"
"2652","冰封王座90-17","我会证明的，我会证明给他们看。"
"2653","冰封王座90-18","是哪里着火了？我闻到了烧焦的味道。"
"2654","冰封王座90-19","比起死亡，信仰的毁灭更加致命。"
"2655","冰封王座90-20","一个人没有信仰，那跟咸鱼还有什么区别。"
"2656","冰封王座90-21","想要进入寒冰之王的领地，你必须先通过我这里。"
"2657","冰封王座90-22","来的正好，我刚好缺少一个祭品来完成仪式。"
"2658","冰封王座90-23","没有人可以通过这里。"
"2659","冰封王座90-24","别废话了，我的斧子渴望着这场战斗。"
"2660","冰封王座90-25","小心你的背后，年轻人。"
"2661","冰封王座90-26","我已经等不及要绞碎你的身体。"
"2662","冰封王座90-27","如果有的选，我更愿意要一副更帅气的皮囊。"
"2663","冰封王座90-28","你将会为你的狂妄付出代价。"
"2664","冰封王座90-29","不要挑战我的耐心，我认真起来的样子我自己都害怕。"
"2665","冰封王座90-30","我身体由成千上万个像你这样不怕死的家伙的骸骨组成。"
"2666","冰封王座90-31","在绝望的恐怖降临之前，能让我撕碎是你的荣幸。"
"2667","冰封王座90-32","乖，我就咬一小口。"
"2668","冰封王座90-33","不要以为你打败了那些废物就可以在我的地盘上嚣张。"
"2669","冰封王座90-34","从蓝龙军团抛弃我的那一刻起，我发誓要像整个世界复仇！"
"2670","冰封王座90-35","蝼蚁们，欢迎来到我的世界。"
"2671","宝箱","谁会无聊到试图跟一个宝箱说话？"
"2672","老兽人","我已经记不清楚我在这里住了多少年了！"
