"魔法ID","魔法名","魔法位置类型","魔法基本类型","痕迹","特效名","是否触发攻击效果","触发攻击效果时间","魔法方向","魔法生成ID","魔法生成时间","生成新魔法方式","地面特效"
"14401",,"0","1",,"geffect/sprite/skillbanner/paodingjieniuhei_","false","0","0","14402","880","2",
"14402",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14411",,"0","1",,"geffect/sprite/skillbanner/jiuguizhaixing_","false","0","0","14412","880","2",
"14412",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14421",,"0","1",,"geffect/sprite/skillbanner/fengleizhangfa_","false","0","0","14422","880","2",
"14422",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14431",,"0","1",,"geffect/sprite/skillbanner/qudu_","false","0","0","14432","880","2",
"14432",,"0","3",,"3d/effect/character/qudu/fxs0045","true","960","0","0","0","0",
"14441",,"0","1",,"geffect/sprite/skillbanner/yujiashankong1_","false","0","0","14442","960","1",
"14442",,"2","2",,"geffect/sprite/newfemale/yunvjianfa","false","0","0","14443","1200","2",
"14443",,"0","3",,"3d/effect/character/yujiashankong/fxs0015","true","560","0","0","0","0",
"14451",,"0","1",,"geffect/sprite/skillbanner/wanxianggengxin_","false","0","0","14452","960","1",
"14452",,"2","2",,,"false","0","0","14453","1200","2","3d/effect/character/wanxianggengxin/fxs0038"
"14453",,"0","3",,"geffect/sprite/addhp","true","560","0","0","0","0",
"14461",,"0","1",,"geffect/sprite/skillbanner/foguangpuzhao_","false","0","0","14462","960","1",
"14462",,"4","2",,,"false","0","0","14463","1200","2","3d/effect/character/wanxianggengxin/fxs0038"
"14463",,"0","3",,"geffect/sprite/addhp","true","560","1","0","0","0",
"14471",,"0","1",,"geffect/sprite/skillbanner/tanzhishentong_","false","0","0","14472","1200","2",
"14472",,"3","2",,"3d/effect/character/tanzhishengong/fxf0048","false","0","3","14473","1600","1",
"14473",,"0","3",,"3d/effect/character/tanzhishengong/fxb0048","true","560","3","0","0","0",
"14474",,"0","1",,"3d/effect/character/tanzhishengong/fxs0048","false","0","0","14472","1200","2",
"14481",,"0","1",,,"false","0","0","14482","880","1",
"14482",,"2","2",,,"false","0","0","14483","1280","2","3d/effect/character/cuixinqinghua/fxs0057"
"14483",,"0","3",,,"true","720","0","0","0","0",
"14491",,"0","1",,,"false","0","0","14492","880","2",
"14492",,"0","3",,"3d/effect/Skill/fangxiatudao/fxs0226","true","960","0","0","0","0",
"14501",,"0","1",,,"false","0","0","14502","960","1",
"14502",,"2","2","3d/effect/character/longxiangbanruogong/fxb0014_02","3d/effect/character/longxiangbanruogong/fxs0014","false","0","0","14503","1200","2","3d/effect/character/longxiangbanruogong/fxb0014_01"
"14503",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14504",,"0","1",,,"false","0","0","14505","880","2",
"14505",,"0","3",,"3d/effect/character/feilongzaitian/fxs0008","true","960","0","0","0","0",
"14506",,"0","1",,,"false","0","0","12052","880","2",
"14507",,"0","3",,"3d/effect/character/qianlongwuyong/fxs0009","true","960","0","0","0","0",
"14511",,"0","1",,,"false","0","0","145102","880","1",
"14512",,"0","1",,"3d/effect/other/chuansong","false","0","0","0","880","1",
"15011",,"0","1",,"geffect/sprite/skillbanner/yiyuanfushi_","false","0","0","15012","880","2",
"15012",,"0","3",,"3d/effect/character/yiyuanfushi/fxs0036","true","1200","0","15013","0","0",
"15021",,"0","1",,"geffect/sprite/skillbanner/yinqiguiyuan_","false","0","0","15022","880","2",
"15022",,"0","3",,"3d/effect/character/yinqiguiyuan/fxs0037","true","1200","0","0","0","0",
"15031",,"0","1",,"geffect/sprite/skillbanner/wanxianggengxin_","false","0","0","15032","960","1",
"15032",,"1","2",,,"false","0","0","15033","1200","2","3d/effect/character/wanxianggengxin/fxs0038"
"15033",,"0","3",,"geffect/sprite/addhp","true","560","0","0","0","0",
"15041",,"0","1",,"geffect/sprite/skillbanner/danfengchaoyang_","false","0","0","15042","960","1",
"15042",,"1","2",,"3d/effect/character/danfengchaoyang/fxs0039","false","0","0","15043","1200","2",
"15043",,"0","3",,"geffect/sprite/addhp","true","560","0","0","0","0",
"15051",,"0","1",,"geffect/sprite/skillbanner/chunyangjianqi_","false","0","0","15052","880","2",
"15052",,"0","3",,"3d/effect/character/chunyangjianqi/fxs0032","true","960","0","0","0","0",
"15071",,"0","1",,"geffect/sprite/skillbanner/liumaishenjian_","false","0","0","15072","960","1",
"15072",,"2","2",,"effect/character/liumaishenjian/liumaishenjian","false","0","0","15073","1200","2",
"15073",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"15081",,"0","1",,"geffect/sprite/skillbanner/chunyanghuti_","false","0","0","15082","880","2",
"15082",,"0","3",,"3d/effect/character/chunyanghuti/fxs0033","true","960","0","0","0","0",
"15091",,"0","1",,"geffect/sprite/skillbanner/yiyangzhi_","false","0","0","15092","960","1",
"15092",,"0","3",,"effect/character/yiyangzhi/yiyangzhi","true","560","0","0","0","0",
"15111",,"0","1",,"geffect/sprite/skillbanner/tafengxing_","false","0","0","15112","880","2",
"15112",,"0","3",,"3d/effect/character/tafengxing/fxs0034","true","960","0","0","0","0",
"15121",,"0","1",,"geffect/sprite/skillbanner/jiedu_","false","0","0","15122","880","2",
"15122",,"0","3",,"3d/effect/character/jiedu/fxs0040","true","960","0","0","0","0",
"16011",,"0","1",,"geffect/sprite/skillbanner/wanjianguizong1_","false","0","0","16012","960","1",
"16012",,"2","2","3d/effect/character/wanjianguizong/fxb0041_02","3d/effect/character/wanjianguizong/fxs0041","false","0","0","16013","1360","2","3d/effect/character/wanjianguizong/fxb0041_01"
"16013",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"16021",,"0","1",,"geffect/sprite/skillbanner/sanhuajuding_","false","0","0","16022","880","2",
"16022",,"0","3",,"3d/effect/character/sanhuajuding/fxs0043","true","960","0","0","0","0",
"16031",,"0","1",,"geffect/sprite/skillbanner/qixingjuyi_","false","0","0","16032","880","2",
"16032",,"0","3",,"3d/effect/character/qixingjuyi/fxs0042","true","960","0","0","0","0",
"16051",,"0","1",,"geffect/sprite/skillbanner/wuqizhaoyuan_","false","0","0","16052","960","1",
"16052",,"0","3",,"3d/effect/character/wuqichaoyuan/fxs0047","true","560","0","0","0","0",
"16061",,"0","1",,"geffect/sprite/skillbanner/chuanliubuxi_","false","0","0","16062","880","2",
"16062",,"0","3",,"3d/effect/character/chuanliubuxi/fxs0044","true","960","0","0","0","0",
"16081",,"0","1",,"geffect/sprite/skillbanner/fanpuguizhen_","false","0","0","16082","880","2",
"16082",,"0","3",,"3d/effect/character/fanpuguizhen/fxs0046","true","960","0","0","0","0",
"16091",,"0","1",,"geffect/sprite/skillbanner/daoyitiangguang_","false","0","0","16092","480","2",
"16092",,"0","3",,"3d/effect/character/daoyitianguang/fxs0070","true","1360","0","0","0","0",
"17011",,"0","1",,"geffect/sprite/skillbanner/tanzhishentong_","false","0","0","17012","1200","2",
"17012",,"3","2",,"effect/character/tanzhishengong/tanzhishentong","false","0","3","17013","1600","1",
"17013",,"0","3",,"effect/character/tanzhishengong/tanzhishentong","true","560","3","0","0","0",
"17014",,"0","1",,"effect/character/tanzhishengong/tanzhishentong","false","0","0","17012","1200","2",
"17021",,"0","1",,"geffect/sprite/skillbanner/bamendingxing_","false","0","0","17022","880","2",
"17022",,"0","3",,"3d/effect/character/bamendingxing/fxs0073","true","960","0","0","0","0",
"17031",,"0","1",,"geffect/sprite/skillbanner/moshoujiugong_","false","0","0","17032","880","2",
"17032",,"0","3",,"3d/effect/character/moshoujiugong/fxs0074","true","960","0","0","0","0",
"17051",,"0","1",,"geffect/sprite/skillbanner/yuxiaojianfa_","false","0","0","17052","960","1",
"17052",,"2","2","effect/character/yuxiaojianfa/yuxiaojianfa3","effect/character/yuxiaojianfa/yuxiaojianfa1","false","0","0","17053","1200","2","effect/character/yuxiaojianfa/yuxiaojianfa2"
"17053",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"17061",,"0","1",,"geffect/sprite/skillbanner/lanhuafuxueshou_","false","0","0","17062","880","2",
"17062",,"0","3",,"3d/effect/character/lanhuafoxueshou/fxs0055","true","960","0","0","0","0",
"17081",,"0","1",,"geffect/sprite/skillbanner/qingfengfumian_","false","0","0","17082","880","2",
"17082",,"0","3",,"3d/effect/character/qingfengfumian/fxs0052","true","960","0","0","0","0",
"17091",,"0","1",,"geffect/sprite/skillbanner/jiugongbaguazhen_","false","0","0","17092","880","2",
"17092",,"0","3",,"3d/effect/character/jiugongbaguazhen/fxs0051","true","960","0","0","0","0",
"17101",,"0","1",,"geffect/sprite/skillbanner/bingmeijueqizhi_","false","0","0","17102","880","2",
"17102",,"0","3",,"3d/effect/character/bingmeijueqizhi/fxs0056","true","960","0","0","0","0",
"17111",,"0","1",,"geffect/sprite/skillbanner/bihaichaoshengqu_","false","0","0","17112","880","2",
"17112",,"0","3",,"3d/effect/character/bihaichaoshengqu/fxs0050","true","960","0","0","0","0",
"17121",,"0","1",,"geffect/sprite/skillbanner/qimendunjia_","false","0","0","17122","880","2",
"17122",,"0","3",,"3d/effect/character/qimendunjia/fxs0072","true","960","0","0","0","0",
"18011",,"0","1",,"geffect/sprite/skillbanner/zaoheding_","false","0","0","18012","960","1",
"18012",,"2","2",,"3d/effect/character/zaoheding/fxs0075","false","0","0","18013","1200","2",
"18013",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"18021",,"0","1",,"geffect/sprite/skillbanner/daidaoyuwangzhen_","false","0","0","18022","880","2",
"18022",,"0","3",,"3d/effect/character/daidaoyuwangzhen/fxs0060","true","960","0","0","0","0",
"18041",,"0","1",,"geffect/sprite/skillbanner/cuixinqinghua_","false","0","0","18042","880","1",
"18042",,"2","2",,,"false","0","0","18043","1280","2","3d/effect/character/cuixinqinghua/fxs0057"
"18043",,"0","3",,,"true","720","0","0","0","0",
"18061",,"0","1",,"geffect/sprite/skillbanner/jiexinzhou_","false","0","0","18062","880","2",
"18062",,"0","3",,"3d/effect/character/jiexinzhou/fxs0076","true","960","0","0","0","0",
"18071",,"0","1",,"geffect/sprite/skillbanner/jiuqumihunzhen_","false","0","0","18072","880","2",
"18072",,"0","3",,"3d/effect/character/jiuqumihunzhen/fxs0054","true","960","0","0","0","0",
"18081",,"0","1",,"geffect/sprite/skillbanner/hantankunlongzhen_","false","0","0","18082","880","2",
"18082",,"0","3",,"3d/effect/character/hantankunlongzhen/fxs0059","true","960","0","0","0","0",
"18091",,"0","1",,"geffect/sprite/skillbanner/guanxinyan_","false","0","0","18092","880","2",
"18092",,"0","3",,"3d/effect/character/guanxinyan/fxs0058","true","960","0","0","0","0",
"18101",,"0","1",,"geffect/sprite/skillbanner/jueqingduanchangzhen_","false","0","0","18102","880","2",
"18102",,"0","3",,"3d/effect/character/jueqingduanchangzhen/fxs0061","true","960","0","0","0","0",
"19011",,"0","1",,"geffect/sprite/skillbanner/qingtengjia_","false","0","0","19012","880","2",
"19012",,"0","3",,"3d/effect/character/qingtengjia/fxs0068","true","960","0","0","0","0",
"19021",,"0","1",,"geffect/sprite/skillbanner/shixuejian_","false","0","0","19022","880","2",
"19022",,"0","3",,"3d/effect/character/shixuejian/fxs0066","true","960","0","0","0","0",
"19041",,"0","1",,"geffect/sprite/skillbanner/shenmuci_","false","0","0","19042","960","1",
"19042",,"2","2","3d/effect/character/shenmmuci/fxb0065_02","3d/effect/character/shenmmuci/fxs0065","false","0","0","19043","640","2","3d/effect/character/shenmmuci/fxb0065_01"
"19043",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"19051",,"0","1",,"geffect/sprite/skillbanner/beisuqingfeng1_","false","0","0","19052","880","2",
"19052",,"0","3",,"3d/effect/character/beisuqingfeng/fxs0062","true","960","0","0","0","0",
"19071",,"0","1",,"geffect/sprite/skillbanner/baihuazhanfang_","false","0","0","19072","880","2",
"19072",,"0","3",,"3d/effect/character/baihuazhanfang/fxs0069","true","960","0","0","0","0",
"19081",,"0","1",,"geffect/sprite/skillbanner/zuixianlingfu_","false","0","0","19082","880","2",
"19082",,"0","3",,"3d/effect/character/zuixianlingfu/fxs0063","true","960","0","0","0","0",
"19091",,"0","1",,"geffect/sprite/skillbanner/mantuoluo_","false","0","0","19092","880","2",
"19092",,"0","3",,"3d/effect/character/mantuoluo/fxs0064","true","960","0","0","0","0",
"19101",,"0","1",,"geffect/sprite/skillbanner/zhuihunxiang_","false","0","0","19102","880","2",
"19102",,"0","3",,"3d/effect/character/zhuihunxiang/fxs0076","true","960","0","0","0","0",
"40011",,"0","1",,"geffect/sprite/skillbanner/huichunshu_","false","0","0","40012","880","2",
"40012",,"0","3",,"3d/effect/Skill/huichunshu/fxs0201","true","960","0","0","0","0",
"40021",,"0","1",,"geffect/sprite/skillbanner/gaojihuichunshu_","false","0","0","40022","880","2",
"40022",,"0","3",,"3d/effect/Skill/huichunshu/fxs0201","true","960","0","0","0","0",
"40031",,"0","1",,"geffect/sprite/skillbanner/naqijue_","false","0","0","40032","880","2",
"40032",,"0","3",,"3d/effect/Skill/naqijue/fxs0203","true","960","0","0","0","0",
"40061",,"0","1",,"geffect/sprite/skillbanner/guwu_","false","0","0","40062","960","1",
"40062",,"1","2",,"3d/effect/Skill/guwuqunti/fxs0206","false","0","0","40063","1200","2",
"40063",,"0","3",,"geffect/sprite/addhp","true","560","0","0","0","0",
"40111",,"0","1",,"geffect/sprite/skillbanner/shixueshu_","false","0","0","40112","880","2",
"40112",,"0","3",,"3d/effect/Skill/shixueshu/fxs0221","true","960","0","0","0","0",
"40121",,"0","1",,"geffect/sprite/skillbanner/xixinggong_","false","0","0","40122","880","2",
"40122",,"0","3",,"3d/effect/Skill/xixinggong/fxs0212","true","960","0","0","0","0",
"40131",,"0","1",,"geffect/sprite/skillbanner/paishandaohai_","false","0","0","40132","880","2",
"40132",,"0","3",,"3d/effect/Skill/paishandaohai/fxs0213","true","960","0","0","0","0",
"40141",,"0","1",,"geffect/sprite/skillbanner/qishangquan_","false","0","0","40142","880","2",
"40142",,"0","3",,"3d/effect/Skill/qishangquan/fxs0214","true","960","0","0","0","0",
"40181",,"0","1",,"geffect/sprite/skillbanner/tiezhanggong_","false","0","0","40182","880","2",
"40182",,"0","3",,"3d/effect/Skill/tiezhanggong/fxs0218","true","960","0","0","0","0",
"40301",,"0","1",,"geffect/sprite/skillbanner/jiashafumogong_","false","0","0","40302","880","2",
"40302",,"0","3",,"3d/effect/Skill/jiashafumogong/fxs0230","true","960","0","0","0","0",
"40321",,"0","1",,"geffect/sprite/skillbanner/ponagong_","false","0","0","40322","880","2",
"40322",,"0","3",,"3d/effect/Skill/ponagong/fxs0232","true","960","0","0","0","0",
"40411",,"0","1",,"geffect/sprite/skillbanner/nuhuoliaoyuan_","false","0","0","40412","880","2",
"40412",,"0","3",,"3d/effect/Skill/nuhuoliaoyuan/fxs0241","true","960","0","0","0","0",
"40431",,"0","1",,"geffect/sprite/skillbanner/qisihuisheng_","false","0","0","40432","880","2",
"40432",,"0","3",,"3d/effect/Skill/qisihuisheng/fxs0243","true","960","0","0","0","0",
"40461",,"0","1",,"geffect/sprite/skillbanner/budongchan_","false","0","0","40462","880","2",
"40462",,"0","3",,"3d/effect/Skill/budongchan/fxs0246","true","960","4","0","0","0",
"40471",,"0","1",,"geffect/sprite/skillbanner/gaojinaqijue_","false","0","0","40472","880","2",
"40472",,"0","3",,"3d/effect/Skill/naqijue/fxs0203","true","960","0","0","0","0",
"40481",,"0","1",,"geffect/sprite/skillbanner/miaoshouhuichun_","false","0","0","40482","880","2",
"40482",,"0","3",,"3d/effect/Skill/miaoshouhuichunqunti/fxs0205","true","960","0","0","0","0",
"40491",,"0","1",,"geffect/sprite/skillbanner/dangtoubanghe_","false","0","0","40492","880","2",
"40492",,"0","3",,"3d/effect/Skill/dangtoubanghe/fxs0207","true","960","0","0","0","0",
"40501",,"0","1",,"geffect/sprite/skillbanner/shenguiluanwu_","false","0","0","40502","880","2",
"40502",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"40511",,"0","1",,"geffect/sprite/skillbanner/lipihuashan_","false","0","0","40512","880","2",
"40512",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"40521",,"0","1",,"geffect/sprite/skillbanner/qishangquan_","false","0","0","40522","880","2",
"40522",,"0","3",,"3d/effect/Skill/qishangquan/fxs0214","true","960","0","0","0","0",
"40531",,"0","1",,"geffect/sprite/skillbanner/tiebushan_","false","0","0","40532","880","2",
"40532",,"0","3",,"3d/effect/Skill/tiebushan/fxs0220","true","960","0","0","0","0",
"40541",,"0","1",,"geffect/sprite/skillbanner/tiebushan_","false","0","0","40542","880","2",
"40542",,"0","3",,"3d/effect/Skill/tiebushan/fxs0220","true","960","0","0","0","0",
"40551",,"0","1",,"geffect/sprite/skillbanner/diukuiqijia_","false","0","0","40552","880","2",
"40552",,"0","3",,"3d/effect/Skill/diukuiqijia/fxs0228","true","960","0","0","0","0",
"40561",,"0","1",,"geffect/sprite/skillbanner/diukuiqijia_","false","0","0","40562","880","2",
"40562",,"0","3",,"3d/effect/Skill/diukuiqijia/fxs0228","true","960","0","0","0","0",
"40571",,"0","1",,"geffect/sprite/skillbanner/jiashafumogong_","false","0","0","40572","880","2",
"40572",,"0","3",,"3d/effect/Skill/jiashafumogong/fxs0230","true","960","0","0","0","0",
"40581",,"0","1",,"geffect/sprite/skillbanner/ponagong_","false","0","0","40582","880","2",
"40582",,"0","3",,"3d/effect/Skill/ponagong/fxs0232","true","960","0","0","0","0",
"40591",,"0","1",,"geffect/sprite/skillbanner/xiaonuoyi_","false","0","0","40592","880","2",
"40592",,"0","3",,"3d/effect/Skill/xiaonuoyi/fxs0234","true","960","0","0","0","0",
"40601",,"0","1",,"geffect/sprite/skillbanner/danuoyi_","false","0","0","40602","880","2",
"40602",,"0","3",,"3d/effect/Skill/xiaonuoyi/fxs0234","true","960","0","0","0","0",
"40611",,"0","1",,"geffect/sprite/skillbanner/banmasuo_","false","0","0","40612","880","2",
"40612",,"0","3",,"3d/effect/Skill/banmasuo/fxs0236","true","960","0","0","0","0",
"40621",,"0","1",,"geffect/sprite/skillbanner/wuxingdun_","false","0","0","40622","880","2",
"40622",,"0","3",,"3d/effect/Skill/wuxingdun/fxs0248","true","960","0","0","0","0",
"40631",,"0","1",,"geffect/sprite/skillbanner/daozhuanglunhui_","false","0","0","40632","880","2",
"40632",,"0","3",,"3d/effect/Skill/qisihuisheng/fxs0243","true","960","0","0","0","0",
"40641",,"0","1",,"geffect/sprite/skillbanner/pingxinjingqi_","false","0","0","40642","880","2",
"40642",,"0","3",,"3d/effect/Skill/pinxinjingqi/fxs0242","true","960","0","0","0","0",
"40651",,"0","1",,"geffect/sprite/skillbanner/jingangbuhuaiti_","false","0","0","40652","880","2",
"40652",,"0","3",,"3d/effect/Skill/jingangbuhuaiti/fxs0239","true","960","0","0","0","0",
"40661",,"0","1",,"geffect/sprite/skillbanner/jingangbuhuaiti_","false","0","0","40662","880","2",
"40662",,"0","3",,"3d/effect/Skill/jingangbuhuaiti/fxs0239","true","960","0","0","0","0",
"40671",,"0","1",,"geffect/sprite/skillbanner/shuishangpiao_","false","0","0","40672","880","2",
"40672",,"0","3",,"3d/effect/Skill/shuishangpiao/fxs0238","true","960","0","0","0","0",
"40681",,"0","1",,"geffect/sprite/skillbanner/jumazhuang_","false","0","0","40682","880","2",
"40682",,"0","3",,"3d/effect/Skill/banmasuo/fxs0236","true","960","0","0","0","0",
"40691",,"0","1",,"geffect/sprite/skillbanner/lieguduanjin_","false","0","0","40692","880","2",
"40692",,"0","3",,"3d/effect/Skill/lieguduanjin/fxs0217","true","960","0","0","0","0",
"40701",,"0","1",,"geffect/sprite/skillbanner/tiezhigangzhang_","false","0","0","40702","880","2",
"40702",,"0","3",,"3d/effect/Skill/tiezhigangzhang","true","960","0","0","0","0",
"40711",,"0","1",,"geffect/sprite/skillbanner/xuankongji_","false","0","0","40712","880","2",
"40712",,"0","3",,"3d/effect/Skill/xuankongji","true","960","0","0","0","0",
