"id","备注","职业贡献奖励","节日积分奖励","公会贡献奖励","公会任务贡献资金","公会任务个人分红","经验奖励","宠物经验奖励","游戏币奖励","金币奖励","声望","必给物品1类ID","必给物品1类数量","必给物品1类属性","必给物品1类属性值","必给物品2类ID","必给物品2类数量","必给物品2类属性","必给物品2类属性值","必给物品3类ID","必给物品3类数量","必给物品3类属性","必给物品3类属性值","必给物品4类ID","必给物品4类数量","必给物品4类属性","必给物品4类属性值","物品1类","物品2类","物品3类","物品4类","物品5类","物品6类","物品7类","物品8类","物品9类","物品10类","物品11类","物品12类","物品13类","物品14类","物品15类","物品16类","物品1类数量","物品2类数量","物品3类数量","物品4类数量","物品5类数量","物品6类数量","物品7类数量","物品8类数量","物品9类数量","物品10类数量","物品11类数量","物品12类数量","物品13类数量","物品14类数量","物品15类数量","物品16类数量","物品1类掉率","物品2类掉率","物品3类掉率","物品4类掉率","物品5类掉率","物品6类掉率","物品7类掉率","物品8类掉率","物品9类掉率","物品10类掉率","物品11类掉率","物品12类掉率","物品13类掉率","物品14类掉率","物品15类掉率","物品16类掉率","获得概率","总概率","随机方式","是否绑定","公告物品id","公告编号","是否发队伍提示","是否触发盈福经验","是否放入临时包裹","是否共享掉落","产出装备途径","定时活动id","服务器获得上限","上限清除方式","提示物品id","提示编号","提示类型","MergeServer","掉落随机1次几率","掉落随机2次几率","掉落随机3次几率"
"11412","寻找宝藏宝物奖励(30-39）",,,,,,"",,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200011","200038","200043","200034","310000","310001","310102","200014","360000","200049","200015",,,,,,"1","1","1","1","1","1","1","1","1","1","1",,,,,,"74","148","45","133","111","45","178","89","133","22","22",,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11413","寻找宝藏宝物奖励(40-49）",,,,,,"",,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200011","200039","200044","200047","310000","310001","310102","200014","360000","200049","200015",,,,,,"1","1","1","1","1","1","1","1","1","1","1",,,,,,"74","148","45","133","111","45","178","89","133","22","22",,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11414","寻找宝藏宝物奖励(50-59）",,,,,,"",,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200011","200040","200045","200048","310000","310001","310102","200014","360000","200049","200015",,,,,,"1","1","1","1","1","1","1","1","1","1","1",,,,,,"74","148","45","133","111","45","178","89","133","22","22",,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11415","寻找宝藏宝物奖励(60以上）",,,,,,"",,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200011","200041","200046","200048","310000","310001","310102","200014","360000","200049","200015",,,,,,"1","1","1","1","1","1","1","1","1","1","1",,,,,,"74","148","45","133","111","45","178","89","133","22","22",,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11501","艾泽拉斯地理问答-正确",,,,,,"(175+random()*50)*RoleLv",,"(15+random()*5)*RoleLv",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","334100","310102","331300","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","100","48","50","","","","","","","","","","","","","","1000","198","1","1","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"11502","艾泽拉斯地理问答-错误",,,,,,"(105+random()*30)*RoleLv",,"9.5*RoleLv",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","1","1","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"11503","艾泽拉斯地理问答-宝箱",,,,,,,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200011","360000","32037","32038","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","25","25","25","25","","","","","","","","","","","","","100","100","0","1","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"19001","英雄试炼",,,,,,"(1+IsSerMul)*(StdExp*5)",,,,,"338000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","338000","338000",,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,"300","50",,,,,,,,,,,,,,,"1000","1000","1","1","0","0","0","1","1",,"0","0","0","0","0","0","0","0",,,
"19002","考古任务",,,,,,,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200008",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"660",,,,,,,,,,,,,,,,"660","1000","1","1","0","0","0","0","1",,"0","0","0","0","331300","150190","1","0",,,
"11601","屠龙-龙族守卫（40以下）",,,,,,"(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.7/15)",,"(StdMoney*2/15)*(random()*(1.05-0.95)+0.95)",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32037","32038","32014","32015",,,,,,,,,,,,,"1","1","1","1",,,,,,,,,,,,,"60","20","60","20",,,,,,,,,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11602","屠龙-龙族军团（40-59）",,,,,,"(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.7/5)",,"(StdMoney*2/5)*(random()*(1.05-0.95)+0.95)",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","331300","40013",,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,"200","50",,,,,,,,,,,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11603","屠龙-龙族精锐（60以上）",,,,,,"(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.7/5)",,"(StdMoney*2/5)*(random()*(1.05-0.95)+0.95)",,,"200050","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","331300","40013",,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,"300","80",,,,,,,,,,,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11604","屠龙-龙族BOSS（70以上）",,,,,,"(1+0.05*IsTL)*(1+IsSerMul)*(StdExp*6.7)",,"(StdMoney*2)*(random()*(1.05-0.95)+0.95)",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11605","屠龙-龙族BOSS（共享掉落）",,,,,,,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11701","冰封王座（怪物掉落）",,,,,,"100*1","100*1","100*1",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200011","200051","338000","334100","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","40","40","120","200","","","","","","","","","","","","","1000","1000","1","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"11702","冰封王座（宝箱奖励）",,,,,,,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","310101","310102","360000","32037","32038","","","","","","","","","","","","1","5","1","1","1","","","","","","","","","","","","1","10","10","40","40","","","","","","","","","","","","1000","101","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"11703","冰封王座前十名奖励",,,,,,,,,,,"200054","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","331350;331351;331352;331353;331354;311002;311012;311001;311038;311039;311040;311041;311042;311043;311044;311045;311046;311047;311048;311049;311050","160430","0","","","","0","0","0","0","0","0","1","0","","",""
"11801","职业闯关",,,,,,"100*1","100*1","100*1",,,"200055","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",,,,,,,,,,,,,,,,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","1","0","331350;331351;311001;311002;311003;311004;311005;311006;311007;311008;311009;311010;311011;311012;311013;311014;311015;311016;311017;311018;311019;311020;311021;311022;311023;311024;311025;311026;311027;311028;311029;311030;311031;311032;311033","160448","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11802","职业闯关（额外奖励）",,,,,,,,,,,"200053","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","10","10","40","40","","","","","","","","","","","","1000","101","0","0","331350;331351;331352;331353;331354;311002;311012;311001;311038;311039;311040;311041;311042;311043;311044;311045;311046;311047;311048;311049;311050","160431","0","0","1","","0","0","0","0","0","0","1","0","","",""
"18001","测试奖励1","","","","","","100*RoleLv",,"100*RoleLv",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","1","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"18002","测试奖励2","","","","","","200*RoleLv",,"200*RoleLv",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","1","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"18003","测试奖励3","","","","","","500*RoleLv",,"500*RoleLv",,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","1","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11803","亚龙奖励",,,,,,"100*1","100*1","100*1",,,"200056","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","1","0","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11804","巨龙奖励",,,,,,"100*1","100*1","100*1",,,"200057","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","1","0","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"11805","巨龙精英奖励",,,,,,"100*1","100*1","100*1",,,"200058","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000","1000","1","0","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"12000","世界宝箱测试奖励",,,,,,,,"100000",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200011","200012","200013","200014","200016",,,,,,,,,,,,"1","1","1","1","1",,,,,,,,,,,,"20","20","20","20","5",,,,,,,,,,,,"1000","85","0","1","0","0","0","0","1",,"0","0","0","0","0","0","1","0",,,
"12001","宠物相伴",,,,,,"300",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12002","呼朋唤友",,,,,,"100",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12003","新兵报到",,,,,,"200",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12004","创物梦境",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12005","职业任务","5",,,,,"300",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12006","王冠",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12007","帮派玩法",,,"5",,,"200",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12008","职业技能",,,,,,,,"1000",,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12009","大陆声音",,,,,,,,,"50",,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12010","英雄试炼",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12011","燃烧的远征",,,,,,"500",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12012","大囧龟",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12013","封印古神",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12014","寻宝秘闻",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12015","主宰之剑",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12016","打造装备",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12017","镶嵌宝石",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12018","排行榜",,,,,,"1000",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12019","玫瑰与王权",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12020","任务修炼",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12021","药品使用",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12022","黑石之锅",,,,,,"2000",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12023","两个国王",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12024","暴风的权杖",,,,,,"2000",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12025","巨龙入侵",,,,,,"5000",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12026","职业特技",,,,,,,,"10000",,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12027","55级宠物",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12028","血色之殇",,,,,,,,"5000",,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12029","65级宠物",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12030","第二个装备孔",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12031","更强的宠物",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12032","七级宝石",,,,,,,,"50000",,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12033","稀有宠物",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0","","",""
"12034","九级宝石",,,,,,,,"100000",,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"12200","12000-12200成就占用",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","1","0",,,
"5000","职业日常每环奖励0","max(floor((Ring-4)/2),0)",,,,,"(400*RoleLv*0.694*(0.78+0.04*Ring))*(random()*(1.02-0.98)+0.98)","(5000*RoleLv*0.05*(0.78+0.04*Ring))*(random()*(1.02-0.98)+0.98)","(1000*RoleLv*0.2*(0.78+0.04*Ring))*(random()*(1.02-0.98)+0.98)","",,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","1","1","","0","0","0","0","0","0","0","0",,,
"5001","职业日常每轮奖励0",,,,,,"","","","(1*RoleLv*4)*(random()*(1.02-0.98)+0.98)",,"5002","1","0","0",,,,,,,,,,,,,"200061","200062","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","600","100","","","","","","","","","","","","","","","700","1000","0","0","0","0","0","1","1","","0","0","0","0","0","0","0","0",,,
"5002","职业日常每轮奖励附加",,,,,,"","","","",,,,,,,,,,,,,,,,,,"200066","200169","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","300","300","","","","","","","","","","","","","","","600","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0",,,
"5003","职业日常高品和额外",,,,,,"(400*RoleLv*0.694*(0.78+0.04*Ring))*(random()*(1.02-0.98)+0.98)","","","",,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0",,,
"5004","特殊职业日常",,,,,,"(400*RoleLv*1)*(random()*(1.02-0.98)+0.98)","(5000*RoleLv*0.1)*(random()*(1.02-0.98)+0.98)","(1000*RoleLv*0.4)*(random()*(1.02-0.98)+0.98)","",,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0",,,
"5005","职业日常50级环装",,,,,,"","","30000","",,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0",,,
"5006","职业日常50级环装",,,,,,"","","50000","",,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0",,,
"5010","日常副本开双附加道具20级",,,,,,"","","","",,"",,,,,,,,,,,,,,,,"200063","200064","200108","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","200","100","160","","","","","","","","","","","","","","460","1000","0","0","0","162004","0","0","1","0","0","0","0","0","0","0","0","0",,,
"5020","日常副本开双附加道具30级",,,,,,"","","","",,"",,,,,,,,,,,,,,,,"200063","200064","200109","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","200","100","120","","","","","","","","","","","","","","420","1000","0","0","0","162004","0","0","1","0","0","0","0","0","0","0","0","0",,,
"5030","日常副本开双附加道具40级",,,,,,"","","","",,"",,,,,,,,,,,,,,,,"200063","200064","200110","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","200","100","100","","","","","","","","","","","","","","400","1000","0","0","0","162004","0","0","1","0","0","0","0","0","0","0","0","0",,,
"5040","日常副本开双附加道具50级",,,,,,"","","","",,"",,,,,,,,,,,,,,,,"200063","200064","200111","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","200","100","80","","","","","","","","","","","","","","380","1000","0","0","0","162004","0","0","1","0","0","0","0","0","0","0","0","0",,,
"5050","日常副本开双附加道具60级",,,,,,"","","","",,,,,,,,,,,,,,,,,,"200063","200064","200111","200112","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","200","100","30","30","","","","","","","","","","","","","360","1000","0","0","0","162004","0","0","1","0","0","0","0","0","0","0","0","0",,,
"5060","日常副本开双附加道具70级以上",,,,,,"","","","",,,,,,,,,,,,,,,,,,"200063","200064","200111","200112","200113","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","200","100","20","20","20","","","","","","","","","","","","360","1000","0","0","0","162004","0","0","1","0","0","0","0","0","0","0","0","0",,,
"5070","日常副本基础20级0",,,,,,"(400*TeamLv*0.12*(0.78+0.04*Ring)*(1-IsDbPoint)+400*TeamLv*0.8*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)*(1+0.05*IsTL)","(5000*TeamLv*0.02*(0.78+0.04*Ring)*(1-IsDbPoint)+5000*TeamLv*0.04*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","(1000*TeamLv*0.03*(0.78+0.04*Ring)*(1-IsDbPoint)+1000*TeamLv*0.1*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","(1*TeamLv*0.2*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","SwXs*1","",,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",,,
"5080","日常副本基础30级0",,,,,,"(400*TeamLv*0.12*(0.78+0.04*Ring)*(1-IsDbPoint)+400*TeamLv*0.8*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)*(1+0.05*IsTL)","(5000*TeamLv*0.02*(0.78+0.04*Ring)*(1-IsDbPoint)+5000*TeamLv*0.04*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","(1000*TeamLv*0.03*(0.78+0.04*Ring)*(1-IsDbPoint)+1000*TeamLv*0.1*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","(1*TeamLv*0.2*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","SwXs*1","",,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",,,
"5090","日常副本基础40级0",,,,,,"(400*TeamLv*0.12*(0.78+0.04*Ring)*(1-IsDbPoint)+400*TeamLv*0.8*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)*(1+0.05*IsTL)","(5000*TeamLv*0.02*(0.78+0.04*Ring)*(1-IsDbPoint)+5000*TeamLv*0.04*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","(1000*TeamLv*0.03*(0.78+0.04*Ring)*(1-IsDbPoint)+1000*TeamLv*0.1*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","(1*TeamLv*0.2*(0.945+0.01*Ring)*IsDbPoint)*(random()*(1.02-0.98)+0.98)*(1-min(5-TeamNum,2)*0.15)","SwXs*1","",,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",,,
