"id","战斗回合数","条件脚本","AI怪回合数","触发几率","对象过滤","被使用的技能ID","策划备注"
"39074",">=1","","","2.5000000000000001E-2","_99001_<1","","变异矮人军官80"
"39075",">=1","","","8.3000000000000004E-2","_99001_<1","","死亡骑士宝宝85"
"39076",">=1","","","8.3000000000000004E-2","_99001_<1","","食尸鬼宝宝85"
"39077",">=1","","","8.4000000000000005E-2","_99001_<1","","女妖宝宝85"
"39078",">=1","","","2E-3","_99001_<1","","恐惧恶魔宝宝85"
"39079",">=1","","","2.5000000000000001E-2","_99001_<1","","变异死亡骑士85"
"39080",">=1","","","2.5000000000000001E-2","_99001_<1","","变异食尸鬼85"
"39081",">=1","","","2.5000000000000001E-2","_99001_<1","","变异女妖85"
"39082",">=1","","","2.5000000000000001E-2","_99001_<1","","变异恐惧恶魔85"
"39083",">=1","","","","","","小萌萌只挨打"
"39084","==5",,,,"",,"第5回合召唤两只怪"
"39085","==10",,,,,,"第10回合召唤两只怪"
"39086","==2",,,,"_96124_<=0.01",,"训犬人召唤小狗"
"40000",">=1","","","1","_99002_<1","","狗男女男的死了召唤女的"
"40001",">=1","","","1","_99003_>=1","","拉boss男"
"40002","==4",,,,"_96124_<=0.01",,"训犬人召唤小狗"
"40003","==6",,,,"_96124_<=0.01",,"训犬人召唤小狗"
"40004","==2",,,,,,"冰封王座70级召唤小怪"
"40005","==4",,,,,,"冰封王座70级召唤小怪"
"40006","==6",,,,,,"冰封王座70级召唤小怪"
"40007","==1",,,,,,"冰封王座70级boss双封"
"40008","==2",,,,,,"冰封王座70级boss野兽之力"
"40009","==1",,,,,,"冰封王座70级战士破血"
"40010","==6",,,,"",,"全体满血技能"
"40011","==2",,,,,,"冰封王座90级召唤小怪"
"40012","==6",,,,,,"冰封王座90级召唤小怪"
"40013","==9",,,,,,"冰封王座90级召唤小怪"
"40014","==12",,,,,,"冰封王座90级召唤小怪"
"40015","==8",,,,,,"冰封王座90级fs大招"
"40016","==8",,,,,,"冰封王座90级le大招"
